X,Y
302.7265,1657063
302.7018,1574618
302.6771,1492103
302.6523,1410155
302.6276,1329427
302.6029,1250571
302.5782,1174229
302.5534,1101017
302.5287,1031512
302.504,966239
302.4793,905665
302.4545,850186
302.4298,800119
302.4051,755699
302.3804,717074
302.3556,684300
302.3309,657348
302.3062,636099
302.2814,620350
302.2567,609823
302.232,604165
302.2073,602963
302.1825,605750
302.1578,612016
302.1331,621217
302.1084,632791
302.0836,646164
302.0589,660762
302.0342,676027
302.0094,691416
301.9847,706421
301.96,720569
301.9353,733432
301.9105,744631
301.8858,753838
301.8611,760782
301.8364,765245
301.8116,767065
301.7869,766131
301.7622,762380
301.7375,755795
301.7127,746396
301.688,734238
301.6633,719400
301.6385,701980
301.6138,682091
301.5891,659848
301.5644,635368
301.5396,608758
301.5149,580117
301.4902,549523
301.4655,517036
301.4407,482695
301.416,446513
301.3913,408479
301.3665,368560
301.3418,326700
301.3171,282826
301.2924,236850
301.2676,188672
301.2429,138188
301.2182,85294
301.1935,29891
301.1687,-28108
301.144,-88775
301.1193,-152157
301.0945,-218275
301.0698,-287116
301.0451,-358635
301.0204,-432747
300.9956,-509325
300.9709,-588203
300.9462,-669172
300.9215,-751985
300.8967,-836355
300.872,-921959
300.8473,-1008444
300.8226,-1095430
300.7978,-1182515
300.7731,-1269280
300.7484,-1355300
300.7236,-1440144
300.6989,-1523387
300.6742,-1604614
300.6495,-1683429
300.6247,-1759460
300.6,-1832363
300.5753,-1901831
300.5506,-1967600
300.5258,-2029447
300.5011,-2087200
300.4764,-2140739
300.4516,-2189995
300.4269,-2234956
300.4022,-2275664
300.3775,-2312216
300.3527,-2344760
300.328,-2373499
300.3033,-2398683
300.2786,-2420608
300.2538,-2439612
300.2291,-2456070
300.2044,-2470392
300.1797,-2483015
300.1549,-2494399
300.1302,-2505022
300.1055,-2515374
300.0807,-2525951
300.056,-2537250
300.0313,-2549763
300.0066,-2563969
299.9818,-2580332
299.9571,-2599294
299.9324,-2621267
299.9077,-2646632
299.8829,-2675729
299.8582,-2708857
299.8335,-2746265
299.8087,-2788152
299.784,-2834657
299.7593,-2885863
299.7346,-2941789
299.7098,-3002388
299.6851,-3067548
299.6604,-3137089
299.6357,-3210762
299.6109,-3288252
299.5862,-3369179
299.5615,-3453102
299.5368,-3539519
299.512,-3627875
299.4873,-3717569
299.4626,-3807958
299.4378,-3898367
299.4131,-3988098
299.3884,-4076439
299.3637,-4162677
299.3389,-4246109
299.3142,-4326051
299.2895,-4401855
299.2648,-4472918
299.24,-4538696
299.2153,-4598717
299.1906,-4652587
299.1658,-4700010
299.1411,-4740788
299.1164,-4774834
299.0917,-4802177
299.0669,-4822968
299.0422,-4837479
299.0175,-4846110
298.9928,-4849377
298.968,-4847919
298.9433,-4842483
298.9186,-4833918
298.8939,-4823164
298.8691,-4811238
298.8444,-4799219
298.8197,-4788231
298.7949,-4779422
298.7702,-4773949
298.7455,-4772952
298.7208,-4777538
298.696,-4788755
298.6713,-4807576
298.6466,-4834879
298.6219,-4871426
298.5971,-4917847
298.5724,-4974628
298.5477,-5042097
298.5229,-5120415
298.4982,-5209571
298.4735,-5309376
298.4488,-5419466
298.424,-5539305
298.3993,-5668190
298.3746,-5805266
298.3499,-5949532
298.3251,-6099867
298.3004,-6255037
298.2757,-6413728
298.251,-6574561
298.2262,-6736118
298.2015,-6896968
298.1768,-7055693
298.152,-7210911
298.1273,-7361302
298.1026,-7505630
298.0779,-7642768
298.0531,-7771710
298.0284,-7891597
298.0037,-8001721
297.979,-8101543
297.9542,-8190697
297.9295,-8268990
297.9048,-8336408
297.88,-8393108
297.8553,-8439409
297.8306,-8475785
297.8059,-8502849
297.7811,-8521337
297.7564,-8532086
297.7317,-8536021
297.707,-8534123
297.6822,-8527415
297.6575,-8516932
297.6328,-8503704
297.6081,-8488730
297.5833,-8472961
297.5586,-8457278
297.5339,-8442478
297.5091,-8429260
297.4844,-8418213
297.4597,-8409811
297.435,-8404405
297.4102,-8402227
297.3855,-8403389
297.3608,-8407888
297.3361,-8415619
297.3113,-8426380
297.2866,-8439893
297.2619,-8455815
297.2371,-8473754
297.2124,-8493292
297.1877,-8514000
297.163,-8535458
297.1382,-8557273
297.1135,-8579094
297.0888,-8600630
297.0641,-8621661
297.0393,-8642051
297.0146,-8661753
296.9899,-8680819
296.9651,-8699395
296.9404,-8717727
296.9157,-8736152
296.891,-8755092
296.8662,-8775045
296.8415,-8796570
296.8168,-8820271
296.7921,-8846785
296.7673,-8876758
296.7426,-8910829
296.7179,-8949609
296.6932,-8993661
296.6684,-9043483
296.6437,-9099491
296.619,-9162001
296.5942,-9231214
296.5695,-9307211
296.5448,-9389942
296.5201,-9479217
296.4953,-9574712
296.4706,-9675968
296.4459,-9782393
296.4212,-9893278
296.3964,-1.00E+07
296.3717,-1.01E+07
296.347,-1.02E+07
296.3222,-1.04E+07
296.2975,-1.05E+07
296.2728,-1.06E+07
296.2481,-1.07E+07
296.2233,-1.08E+07
296.1986,-1.09E+07
296.1739,-1.10E+07
296.1492,-1.11E+07
296.1244,-1.12E+07
296.0997,-1.13E+07
296.075,-1.14E+07
296.0503,-1.14E+07
296.0255,-1.15E+07
296.0008,-1.15E+07
295.9761,-1.16E+07
295.9513,-1.16E+07
295.9266,-1.16E+07
295.9019,-1.16E+07
295.8772,-1.17E+07
295.8524,-1.17E+07
295.8277,-1.17E+07
295.803,-1.16E+07
295.7783,-1.16E+07
295.7535,-1.16E+07
295.7288,-1.16E+07
295.7041,-1.16E+07
295.6793,-1.16E+07
295.6546,-1.16E+07
295.6299,-1.16E+07
295.6052,-1.16E+07
295.5804,-1.15E+07
295.5557,-1.15E+07
295.531,-1.15E+07
295.5063,-1.15E+07
295.4815,-1.15E+07
295.4568,-1.15E+07
295.4321,-1.15E+07
295.4074,-1.16E+07
295.3826,-1.16E+07
295.3579,-1.16E+07
295.3332,-1.16E+07
295.3084,-1.16E+07
295.2837,-1.16E+07
295.259,-1.16E+07
295.2343,-1.16E+07
295.2095,-1.16E+07
295.1848,-1.15E+07
295.1601,-1.15E+07
295.1354,-1.15E+07
295.1106,-1.15E+07
295.0859,-1.14E+07
295.0612,-1.14E+07
295.0364,-1.13E+07
295.0117,-1.13E+07
294.987,-1.12E+07
294.9623,-1.12E+07
294.9375,-1.11E+07
294.9128,-1.10E+07
294.8881,-1.10E+07
294.8634,-1.09E+07
294.8386,-1.09E+07
294.8139,-1.08E+07
294.7892,-1.08E+07
294.7645,-1.07E+07
294.7397,-1.07E+07
294.715,-1.06E+07
294.6903,-1.06E+07
294.6655,-1.06E+07
294.6408,-1.06E+07
294.6161,-1.06E+07
294.5914,-1.06E+07
294.5666,-1.06E+07
294.5419,-1.06E+07
294.5172,-1.06E+07
294.4925,-1.06E+07
294.4677,-1.07E+07
294.443,-1.07E+07
294.4183,-1.08E+07
294.3935,-1.08E+07
294.3688,-1.09E+07
294.3441,-1.09E+07
294.3194,-1.10E+07
294.2946,-1.10E+07
294.2699,-1.11E+07
294.2452,-1.11E+07
294.2205,-1.12E+07
294.1957,-1.12E+07
294.171,-1.12E+07
294.1463,-1.13E+07
294.1216,-1.13E+07
294.0968,-1.13E+07
294.0721,-1.13E+07
294.0474,-1.13E+07
294.0226,-1.13E+07
293.9979,-1.13E+07
293.9732,-1.13E+07
293.9485,-1.12E+07
293.9237,-1.12E+07
293.899,-1.12E+07
293.8743,-1.11E+07
293.8496,-1.11E+07
293.8248,-1.11E+07
293.8001,-1.10E+07
293.7754,-1.10E+07
293.7506,-1.10E+07
