X,Y
259.680643,-634624896
259.671507,-614947072
259.662371,-595839232
259.653235,-577369728
259.644099,-559602560
259.634963,-542600192
259.625827,-526423552
259.616691,-511133952
259.607555,-496791680
259.598419,-483459328
259.589283,-471198336
259.580147,-460071040
259.57101,-450138752
259.561874,-441460736
259.552738,-434092288
259.543602,-428083584
259.534466,-423477120
259.52533,-420304640
259.516194,-418585600
259.507058,-418323456
259.497922,-419504768
259.488786,-422094464
259.47965,-426036736
259.470514,-431250688
259.461378,-437630976
259.452242,-445046656
259.443106,-453341952
259.43397,-462336768
259.424834,-471828608
259.415697,-481596416
259.406561,-491402368
259.397425,-500998016
259.388289,-510127744
259.379153,-518535680
259.370017,-525971584
259.360881,-532197376
259.351745,-536993280
259.342609,-540165376
259.333473,-541551744
259.324337,-541027456
259.315201,-538511488
259.306065,-533970048
259.296929,-527420416
259.287793,-518932352
259.278657,-508630144
259.269521,-496690944
259.260384,-483343104
259.251248,-468862464
259.242112,-453567360
259.232976,-437811456
259.22384,-421977344
259.214704,-406466432
259.205568,-391688832
259.196432,-378054912
259.187296,-365962496
259.17816,-355787904
259.169024,-347873024
259.159888,-342518400
259.150752,-339971712
259.141616,-340421632
259.13248,-343990144
259.123344,-350729600
259.114208,-360618880
259.105071,-373562880
259.095935,-389395072
259.086799,-407880064
259.077663,-428720384
259.068527,-451563776
259.059391,-476013696
259.050255,-501639424
259.041119,-527990144
259.031983,-554607104
259.022847,-581038848
259.013711,-606855040
259.004575,-631660416
258.995439,-655107328
258.986303,-676909568
258.977167,-696850432
258.968031,-714792704
258.958895,-730684544
258.949758,-744562432
258.940622,-756552448
258.931486,-766867584
258.92235,-775803136
258.913214,-783728512
258.904078,-791076736
258.894942,-798330112
258.885806,-806006400
258.87667,-814640512
258.867534,-824765696
258.858398,-836895488
258.849262,-851502464
258.840126,-869000192
258.83099,-889723776
258.821854,-913914624
258.812718,-941703808
258.803582,-973101568
258.794445,-1007987200
258.785309,-1046105216
258.776173,-1087061120
258.767037,-1130326912
258.757901,-1175244800
258.748765,-1221039744
258.739629,-1266832384
258.730493,-1311658880
258.721357,-1354491392
258.712221,-1394262144
258.703085,-1429891712
258.693949,-1460315520
258.684813,-1484514176
258.675677,-1501542400
258.666541,-1510557952
258.657405,-1510849024
258.648269,-1501857792
258.639132,-1483205248
258.629996,-1454706176
258.62086,-1416386048
258.611724,-1368487680
258.602588,-1311478144
258.593452,-1246044160
258.584316,-1173087488
258.57518,-1093711104
258.566044,-1009201280
258.556908,-921004928
258.547772,-830701056
258.538636,-739969664
258.5295,-650556288
258.520364,-564233600
258.511228,-482763264
258.502092,-407854336
258.492956,-341124096
258.483819,-284059648
258.474683,-237980928
258.465547,-204007552
258.456411,-183029504
258.447275,-175683200
258.438139,-182332032
258.429003,-203054080
258.419867,-237634944
258.410731,-285568640
258.401595,-346064896
258.392459,-418061568
258.383323,-500246784
258.374187,-591082624
258.365051,-688839296
258.355915,-791628800
258.346779,-897447424
258.337642,-1004216832
258.328506,-1109830144
258.31937,-1212197504
258.310234,-1309291264
258.301098,-1399191040
258.291962,-1480124416
258.282826,-1550507136
258.27369,-1608974720
258.264554,-1654414720
258.255418,-1685986688
258.246282,-1703141632
258.237146,-1705630208
258.22801,-1693507712
258.218874,-1667128704
258.209738,-1627136896
258.200602,-1574448384
258.191466,-1510227072
258.182329,-1435857280
258.173193,-1352908928
258.164057,-1263099904
258.154921,-1168256640
258.145785,-1070270208
258.136649,-971053312
258.127513,-872497536
258.118377,-776430336
258.109241,-684575744
258.100105,-598516736
258.090969,-519663744
258.081833,-449225216
258.072697,-388185600
258.063561,-337288576
258.054425,-297025536
258.045289,-267631744
258.036153,-249087872
258.027016,-241128576
258.01788,-243254528
258.008744,-254754176
257.999608,-274724992
257.990472,-302103680
257.981336,-335696256
257.9722,-374211200
257.963064,-416296448
257.953928,-460573824
257.944792,-505675136
257.935656,-550275584
257.92652,-593127424
257.917384,-633086976
257.908248,-669142400
257.899112,-700434048
257.889976,-726270848
257.88084,-746143360
257.871703,-759729664
257.862567,-766896640
257.853431,-767696896
257.844295,-762359936
257.835159,-751277952
257.826023,-734990592
257.816887,-714161920
257.807751,-689557888
257.798615,-662020096
257.789479,-632438016
257.780343,-601721600
257.771207,-570772864
257.762071,-540459264
257.752935,-511588096
257.743799,-484883712
257.734663,-460967168
257.725527,-440340224
257.71639,-423371648
257.707254,-410290176
257.698118,-401177728
257.688982,-395972352
257.679846,-394470144
257.67071,-396336256
257.661574,-401114368
257.652438,-408245376
257.643302,-417084672
257.634166,-426923904
257.62503,-437013888
257.615894,-446587904
257.606758,-454889088
257.597622,-461191168
257.588486,-464824832
257.57935,-465197952
257.570214,-461816704
257.561077,-454300672
257.551941,-442399104
257.542805,-425999232
257.533669,-405134208
257.524533,-379985024
257.515397,-350879104
257.506261,-318285056
257.497125,-282802944
257.487989,-245152384
257.478853,-206155136
257.469717,-166716928
257.460581,-127805952
257.451445,-90429184
257.442309,-55609088
257.433173,-24358016
257.424037,2347136
257.414901,23587456
257.405764,38527488
257.396628,46433920
257.387492,46695040
257.378356,38838144
257.36922,22539136
257.360084,-2364544
257.350948,-35871360
257.341812,-77812352
257.332676,-127853696
257.32354,-185502336
257.314404,-250116224
257.305268,-320915200
257.296132,-396999040
257.286996,-477364096
257.27786,-560924416
257.268724,-646533888
257.259588,-733009408
257.250451,-819154944
257.241315,-903784576
257.232179,-985746688
257.223043,-1063944960
257.213907,-1137360384
257.204771,-1205068288
257.195635,-1266255872
257.186499,-1320234496
257.177363,-1366451072
257.168227,-1404495104
257.159091,-1434101888
257.149955,-1455155200
257.140819,-1467683200
257.131683,-1471854208
257.122547,-1467967744
257.113411,-1456444800
257.104275,-1437813888
257.095138,-1412697216
257.086002,-1381793280
257.076866,-1345862016
257.06773,-1305704192
257.058594,-1262145664
257.049458,-1216019456
257.040322,-1168148352
257.031186,-1119330816
257.02205,-1070324864
257.012914,-1021837440
257.003778,-974512128
256.994642,-928923008
256.985506,-885566592
256.97637,-844858880
256.967234,-807132800
256.958098,-772641280
256.948962,-741555712
256.939825,-713974144
256.930689,-689925504
256.921553,-669376256
256.912417,-652240512
256.903281,-638387584
256.894145,-627652608
256.885009,-619844608
256.875873,-614757248
256.866737,-612177152
256.857601,-611891968
256.848465,-613697408
256.839329,-617403136
256.830193,-622837888
256.821057,-629852672
256.811921,-638321920
256.802785,-648145792
256.793649,-659247616
256.784512,-671572864
256.775376,-685086336
256.76624,-699768064
256.757104,-715608320
256.747968,-732603648
256.738832,-750750848
256.729696,-770042752
256.72056,-790462592
256.711424,-811979776
256.702288,-834547200
256.693152,-858097280
256.684016,-882540672
256.67488,-907765760
256.665744,-933638656
256.656608,-960004864
256.647472,-986691584
256.638336,-1013512192
256.629199,-1040268288
256.620063,-1066758400
256.610927,-1092780032
256.601791,-1118136960
256.592655,-1142645888
256.583519,-1166140288
256.574383,-1188476544
256.565247,-1209538432
256.556111,-1229240320
256.546975,-1247529344
