X,Y
-394.652,93.6859
-393.68,109.177
-392.709,113.091
-391.737,118.56
-390.766,118.146
-389.794,136.462
-388.823,193.309
-387.851,246.868
-386.88,263.677
-385.908,279.694
-384.937,315.746
-383.965,339.267
-382.993,360.33
-382.022,414.669
-381.05,449.984
-380.079,404.14
-379.107,328.33
-378.136,305.144
-377.164,309.4
-376.193,259.73
-375.221,194.115
-374.25,188.415
-373.278,195.033
-372.307,182.454
-371.335,212.345
-370.363,290.32
-369.392,334.599
-368.42,306.709
-367.449,258.298
-366.477,248.177
-365.506,287.944
-364.534,329.112
-363.563,312.119
-362.591,247.606
-361.62,184.069
-360.648,142.553
-359.676,119.529
-358.705,105.82
-357.733,111.55
-356.762,170.11
-355.79,268.8
-354.819,342.685
-353.847,366.308
-352.876,353.929
-351.904,314.432
-350.933,264.061
-349.961,233.878
-348.99,237.928
-348.018,255.5
-347.046,257.01
-346.075,237.076
-345.103,232.108
-344.132,252.221
-343.16,261.815
-342.189,274.802
-341.217,299.116
-340.246,286.263
-339.274,230.667
-338.303,169.994
-337.331,143.619
-336.359,179.878
-335.388,246.835
-334.416,289.48
-333.445,311.277
-332.473,322.902
-331.502,297.683
-330.53,253.856
-329.559,244.334
-328.587,249.005
-327.616,232.063
-326.644,229.2
-325.673,265.06
-324.701,302.016
-323.729,283.669
-322.758,213.621
-321.786,176.622
-320.815,200.123
-319.843,235.958
-318.872,267.869
-317.9,286.934
-316.929,281.251
-315.957,273.486
-314.986,283.1
-314.014,296.208
-313.042,306.799
-312.071,328.231
-311.099,353.29
-310.128,364.743
-309.156,365.922
-308.185,365.934
-307.213,352.845
-306.242,325.275
-305.27,316.119
-304.299,331.982
-303.327,345.579
-302.356,345.228
-301.384,340.755
-300.412,340.842
-299.441,336.324
-298.469,325.947
-297.498,327.903
-296.526,344.496
-295.555,358.498
-294.583,356.718
-293.612,322.115
-292.64,249.529
-291.669,200.495
-290.697,244.175
-289.725,343.466
-288.754,402.601
-287.782,386.987
-286.811,333.305
-285.839,274.34
-284.868,213.539
-283.896,174.139
-282.925,182.332
-281.953,221.473
-280.982,263.845
-280.01,285.281
-279.039,279.945
-278.067,282.046
-277.095,299.836
-276.124,284.46
-275.152,226.364
-274.181,188.805
-273.209,190.926
-272.238,201.559
-271.266,244.787
-270.295,351.096
-269.323,460.852
-268.352,474.323
-267.38,396.04
-266.408,329.508
-265.437,310.152
-264.465,287.787
-263.494,248.379
-262.522,251.049
-261.551,310.566
-260.579,343.424
-259.608,318.751
-258.636,283.541
-257.665,258.772
-256.693,276.17
-255.722,367.418
-254.75,471.564
-253.778,508.99
-252.807,461.366
-251.835,363.511
-250.864,296.246
-249.892,265.903
-248.921,236.697
-247.949,262.003
-246.978,331.567
-246.006,373.425
-245.035,410.316
-244.063,466.022
-243.091,511.789
-242.12,519.441
-241.148,474.756
-240.177,404.684
-239.205,353.982
-238.234,322.853
-237.262,288.099
-236.291,261.247
-235.319,277.956
-234.348,333.724
-233.376,354.437
-232.405,297.958
-231.433,246.79
-230.461,272.112
-229.49,311.703
-228.518,308.923
-227.547,292.152
-226.575,263.198
-225.604,216.266
-224.632,210.884
-223.661,281.414
-222.689,356.999
-221.718,335.402
-220.746,229.465
-219.774,169.92
-218.803,231.848
-217.831,346.344
-216.86,397.236
-215.888,345.781
-214.917,257.922
-213.945,243.578
-212.974,337.401
-212.002,437.174
-211.031,426.09
-210.059,319.652
-209.088,227.719
-208.116,201.028
-207.144,195.706
-206.173,182.079
-205.201,192.941
-204.23,251.758
-203.258,316.028
-202.287,342.563
-201.315,349.409
-200.344,354.639
-199.372,339.338
-198.401,296.279
-197.429,260.861
-196.457,273.468
-195.486,334.029
-194.514,408.75
-193.543,446.873
-192.571,435.67
-191.6,427.888
-190.628,435.089
-189.657,404.613
-188.685,349.777
-187.714,335.958
-186.742,342.037
-185.771,318.999
