X,Y
-394.652,36.4822
-393.68,113.216
-392.709,188.045
-391.737,245.63
-390.766,255.048
-389.794,211.02
-388.823,123.215
-387.851,7.93706
-386.88,-73.5736
-385.908,-89.1159
-384.937,-79.5006
-383.965,-51.8093
-382.993,15.6645
-382.022,90.0224
-381.05,107.002
-380.079,50.5149
-379.107,-9.97307
-378.136,6.58947
-377.164,112.541
-376.193,243.714
-375.221,307.928
-374.25,271.499
-373.278,179.898
-372.307,122.058
-371.335,155.4
-370.363,244.218
-369.392,317.117
-368.42,333.521
-367.449,286.41
-366.477,198.168
-365.506,129.076
-364.534,132.739
-363.563,185.104
-362.591,224.539
-361.62,229.919
-360.648,232.36
-359.676,264.006
-358.705,296.938
-357.733,275.637
-356.762,207.752
-355.79,162.515
-354.819,155.304
-353.847,126.693
-352.876,63.633
-351.904,27.684
-350.933,57.8527
-349.961,121.57
-348.99,159.305
-348.018,159.83
-347.046,166.438
-346.075,181.708
-345.103,172.265
-344.132,130.024
-343.16,52.57
-342.189,1.57625
-341.217,28.366
-340.246,48.1921
-339.274,27.055
-338.303,44.2254
-337.331,111.44
-336.359,161.418
-335.388,176.361
-334.416,202.66
-333.445,253.783
-332.473,314.683
-331.502,362.155
-330.53,356.478
-329.559,299.83
-328.587,214.739
-327.616,122.29
-326.644,76.579
-325.673,104.26
-324.701,158.56
-323.729,188.031
-322.758,199.954
-321.786,203.968
-320.815,158.048
-319.843,68.0495
-318.872,24.9432
-317.9,69.6655
-316.929,159.175
-315.957,234.518
-314.986,243.813
-314.014,202.085
-313.042,179.926
-312.071,188.965
-311.099,197.146
-310.128,201.822
-309.156,205.923
-308.185,191.046
-307.213,158.086
-306.242,136.741
-305.27,140.097
-304.299,162.911
-303.327,185.032
-302.356,193.354
-301.384,204.672
-300.412,215.592
-299.441,208.437
-298.469,180.662
-297.498,164.463
-296.526,205.845
-295.555,251.33
-294.583,234.199
-293.612,193.556
-292.64,161.016
-291.669,136.951
-290.697,141.645
-289.725,179.724
-288.754,225.842
-287.782,259.971
-286.811,286.968
-285.839,300.254
-284.868,261.514
-283.896,165.898
-282.925,94.4333
-281.953,119.729
