X,Y
3996.35772,-0.00282
3994.42898,-0.00265
3992.50023,-0.00253
3990.57149,-0.00254
3988.64274,-0.00272
3986.714,-0.00261
3984.78526,-0.00221
3982.85651,-0.00204
3980.92777,-0.00204
3978.99902,-0.00171
3977.07028,-0.00103
3975.14154,-0.0007
3973.21279,-0.00089
3971.28405,-0.00108
3969.3553,-0.00125
3967.42656,-0.00133
3965.49782,-0.00076
3963.56907,0.00015
3961.64033,0.00024
3959.71158,-0.00017
3957.78284,-0.00024
3955.8541,0
3953.92535,0.00093
3951.99661,0.00274
3950.06786,0.00377
3948.13912,0.00283
3946.21038,0.00261
3944.28163,0.00375
3942.35289,0.00261
3940.42414,0.00032
3938.4954,0.00019
3936.56665,0.00218
3934.63791,0.0053
3932.70917,0.00651
3930.78042,0.00422
3928.85168,0.00291
3926.92293,0.00473
3924.99419,0.00572
3923.06545,0.00483
3921.1367,0.00564
3919.20796,0.00698
3917.27921,0.00492
3915.35047,0.0012
3913.42173,0
3911.49298,0.00098
3909.56424,0.00367
3907.63549,0.00973
3905.70675,0.01635
3903.77801,0.01731
3901.84926,0.01319
3899.92052,0.00739
3897.99177,0.0024
3896.06303,0.00338
3894.13429,0.00919
3892.20554,0.01049
3890.2768,0.00645
3888.34805,0.00805
3886.41931,0.01156
3884.49056,0.01039
3882.56182,0.01074
3880.63308,0.00904
3878.70433,0.0046
3876.77559,0.00723
3874.84684,0.01296
3872.9181,0.01648
3870.98936,0.01651
3869.06061,0.0114
3867.13187,0.01041
3865.20312,0.01306
3863.27438,0.00993
3861.34564,0.00579
3859.41689,0.00853
3857.48815,0.01836
3855.5594,0.0294
3853.63066,0.02336
3851.70192,0.00471
3849.77317,0
3847.84443,0.00407
3845.91568,0.01008
3843.98694,0.01511
3842.0582,0.01926
3840.12945,0.02229
3838.20071,0.0186
3836.27196,0.01118
3834.34322,0.00829
3832.41447,0.00715
3830.48573,0.00623
3828.55699,0.0077
3826.62824,0.00982
3824.6995,0.01427
3822.77075,0.0205
3820.84201,0.01767
3818.91327,0.01244
3816.98452,0.01068
3815.05578,0.00366
3813.12703,-0.00026
3811.19829,0.00425
3809.26955,0.0111
3807.3408,0.01237
3805.41206,0.01168
3803.48331,0.01636
3801.55457,0.01485
3799.62583,0.00768
3797.69708,0.00591
3795.76834,0.00322
3793.83959,0.0002
3791.91085,0.0007
3789.98211,0.00222
3788.05336,0.00411
3786.12462,0.00552
3784.19587,0.0052
3782.26713,0.00638
3780.33838,0.00726
3778.40964,0.00322
3776.4809,0
3774.55215,0.00219
3772.62341,0.00731
3770.69466,0.00959
3768.76592,0.00715
3766.83718,0.00498
3764.90843,0.00365
3762.97969,0.00511
3761.05094,0.0096
3759.1222,0.01015
3757.19346,0.00853
3755.26471,0.01338
3753.33597,0.0229
3751.40722,0.02437
3749.47848,0.01575
3747.54974,0.01568
3745.62099,0.01746
3743.69225,0.00808
3741.7635,0.00417
3739.83476,0.01228
3737.90602,0.0227
3735.97727,0.02502
3734.04853,0.01524
3732.11978,0.00425
3730.19104,0.00173
3728.26229,0.00587
3726.33355,0.00936
3724.40481,0.00874
3722.47606,0.00635
3720.54732,0.00346
3718.61857,0.00213
3716.68983,0.00532
3714.76109,0.01368
3712.83234,0.02112
3710.9036,0.01758
3708.97485,0.01034
3707.04611,0.01062
3705.11737,0.01748
3703.18862,0.02505
3701.25988,0.02789
3699.33113,0.02979
3697.40239,0.03423
