X,Y
400,0.001
401,0.114
402,0.113
403,0.112
404,0.112
405,0.112
406,0.112
407,0.113
408,0.113
409,0.114
410,0.115
411,0.115
412,0.116
413,0.116
414,0.116
415,0.117
416,0.118
417,0.119
418,0.121
419,0.122
420,0.121
421,0.121
422,0.12
423,0.121
424,0.122
425,0.122
426,0.123
427,0.122
428,0.122
429,0.122
430,0.122
431,0.123
432,0.122
433,0.122
434,0.122
435,0.122
436,0.121
437,0.12
438,0.119
439,0.118
440,0.118
441,0.118
442,0.118
443,0.118
444,0.118
445,0.118
446,0.118
447,0.119
448,0.119
449,0.119
450,0.119
451,0.12
452,0.121
453,0.122
454,0.123
455,0.124
456,0.125
457,0.127
458,0.129
459,0.131
460,0.132
461,0.133
462,0.135
463,0.137
464,0.138
465,0.14
466,0.142
467,0.143
468,0.145
469,0.146
470,0.147
471,0.148
472,0.149
473,0.149
474,0.149
475,0.148
476,0.147
477,0.146
478,0.145
479,0.143
480,0.142
481,0.14
482,0.138
483,0.136
484,0.134
485,0.132
486,0.128
487,0.126
488,0.125
489,0.123
490,0.122
491,0.121
492,0.12
493,0.118
494,0.117
495,0.117
496,0.116
497,0.116
498,0.116
499,0.116
500,0.116
501,0.116
502,0.117
503,0.117
504,0.117
505,0.117
506,0.118
507,0.118
508,0.118
509,0.119
510,0.119
511,0.12
512,0.12
513,0.121
514,0.122
515,0.123
516,0.123
517,0.124
518,0.125
519,0.126
520,0.127
521,0.128
522,0.129
523,0.13
524,0.131
525,0.132
526,0.134
527,0.136
528,0.137
529,0.138
530,0.139
531,0.14
532,0.141
533,0.142
534,0.143
535,0.144
536,0.144
537,0.145
538,0.145
539,0.145
540,0.144
541,0.144
542,0.143
543,0.143
544,0.142
545,0.141
546,0.141
547,0.14
548,0.139
549,0.138
550,0.137
551,0.136
552,0.135
553,0.134
554,0.133
555,0.132
556,0.132
557,0.131
558,0.13
559,0.13
560,0.129
561,0.128
562,0.127
563,0.126
564,0.125
565,0.125
566,0.124
567,0.123
568,0.122
569,0.121
570,0.12
571,0.12
572,0.119
573,0.118
574,0.117
575,0.116
576,0.116
577,0.115
578,0.114
579,0.114
580,0.113
581,0.112
582,0.112
583,0.112
584,0.111
585,0.11
586,0.11
587,0.109
588,0.109
589,0.109
590,0.108
591,0.108
592,0.107
593,0.107
594,0.107
595,0.106
596,0.106
597,0.105
598,0.105
599,0.105
600,0.105
601,0.104
602,0.104
603,0.104
604,0.104
605,0.104
606,0.103
607,0.103
608,0.102
609,0.102
610,0.102
611,0.102
612,0.102
613,0.102
614,0.101
615,0.101
616,0.101
617,0.101
618,0.101
619,0.1
620,0.101
621,0.1
622,0.1
623,0.0997
624,0.0996
625,0.0998
626,0.0999
627,0.0997
628,0.0994
629,0.0993
630,0.0993
631,0.0994
632,0.0994
633,0.0991
634,0.0989
635,0.0988
636,0.099
637,0.0991
638,0.099
639,0.0989
640,0.0988
641,0.0988
642,0.0988
643,0.0988
644,0.0987
645,0.0987
646,0.0988
647,0.0989
648,0.0989
649,0.0987
650,0.0986
651,0.0987
652,0.0988
653,0.0988
654,0.0986
655,0.0985
656,0.0985
657,0.0986
658,0.0988
659,0.099
660,0.099
661,0.099
662,0.0992
663,0.0994
664,0.0995
665,0.0995
666,0.0995
667,0.0997
668,0.1
669,0.1
670,0.1
671,0.1
672,0.101
673,0.101
674,0.101
675,0.102
676,0.102
677,0.102
678,0.102
679,0.103
680,0.103
681,0.103
682,0.103
683,0.104
684,0.104
685,0.104
686,0.105
687,0.105
688,0.106
689,0.106
690,0.106
691,0.107
692,0.107
693,0.107
694,0.108
695,0.108
696,0.108
697,0.108
698,0.107
699,0.107
700,0.107
701,0.106
702,0.106
703,0.105
704,0.105
705,0.105
706,0.105
707,0.104
708,0.104
709,0.104
710,0.104
711,0.104
712,0.105
713,0.105
714,0.105
715,0.105
716,0.105
717,0.105
718,0.105
719,0.105
720,0.105
721,0.106
722,0.106
723,0.107
724,0.107
725,0.108
726,0.108
727,0.109
728,0.109
729,0.109
730,0.11
731,0.111
732,0.111
733,0.112
734,0.112
735,0.113
736,0.114
737,0.115
738,0.116
739,0.117
740,0.118
741,0.119
742,0.12
743,0.121
744,0.122
745,0.122
746,0.122
747,0.123
748,0.123
749,0.123
750,0.123
751,0.122
752,0.122
753,0.122
754,0.122
755,0.121
756,0.121
757,0.12
758,0.12
759,0.12
760,0.119
761,0.119
762,0.118
763,0.118
764,0.117
765,0.117
766,0.116
767,0.116
768,0.116
769,0.116
770,0.116
771,0.116
772,0.115
773,0.116
774,0.116
775,0.116
776,0.116
777,0.117
778,0.117
779,0.117
780,0.118
781,0.118
782,0.118
783,0.118
784,0.119
785,0.119
786,0.119
787,0.12
788,0.12
789,0.121
790,0.121
791,0.122
792,0.123
793,0.123
794,0.124
795,0.125
796,0.126
797,0.126
798,0.127
799,0.127
800,0.127
801,0.127
802,0.127
803,0.127
804,0.127
805,0.126
806,0.126
807,0.126
808,0.126
809,0.125
810,0.125
811,0.125
812,0.124
813,0.124
814,0.123
815,0.123
816,0.122
817,0.122
818,0.121
819,0.12
820,0.12
821,0.119
822,0.119
823,0.118
824,0.117
825,0.117
826,0.117
827,0.117
828,0.116
829,0.116
830,0.116
831,0.116
832,0.116
833,0.116
834,0.116
835,0.116
836,0.117
837,0.117
838,0.117
839,0.117
840,0.118
841,0.118
842,0.118
843,0.119
844,0.119
845,0.12
846,0.12
847,0.121
848,0.121
849,0.122
850,0.123
851,0.123
852,0.124
853,0.125
854,0.126
855,0.126
856,0.127
857,0.127
858,0.128
859,0.128
860,0.129
861,0.129
862,0.129
863,0.13
864,0.13
865,0.131
866,0.131
867,0.131
868,0.131
869,0.132
870,0.132
871,0.132
872,0.132
873,0.132
874,0.132
875,0.132
876,0.132
877,0.131
878,0.13
879,0.129
880,0.128
881,0.128
882,0.127
883,0.126
884,0.125
885,0.125
886,0.124
887,0.123
888,0.123
889,0.122
890,0.122
891,0.122
892,0.121
893,0.121
894,0.121
895,0.121
896,0.121
897,0.121
898,0.121
899,0.121
900,0.121
901,0.121
902,0.122
903,0.122
904,0.123
905,0.124
906,0.124
907,0.125
908,0.126
909,0.127
910,0.127
911,0.128
912,0.129
913,0.129
914,0.13
915,0.129
916,0.129
917,0.129
918,0.128
919,0.128
920,0.128
921,0.128
922,0.128
923,0.127
924,0.127
925,0.127
926,0.127
927,0.127
928,0.128
929,0.128
930,0.128
931,0.129
932,0.129
933,0.13
934,0.13
935,0.131
936,0.131
937,0.131
938,0.132
939,0.132
940,0.132
941,0.132
942,0.132
943,0.132
944,0.131
945,0.131
946,0.131
947,0.131
948,0.131
949,0.131
950,0.131
951,0.131
952,0.131
953,0.132
954,0.132
955,0.132
956,0.133
957,0.133
958,0.134
959,0.134
960,0.135
961,0.135
962,0.136
963,0.136
964,0.137
965,0.137
966,0.138
967,0.139
968,0.139
969,0.14
970,0.141
971,0.142
972,0.143
973,0.144
974,0.145
975,0.146
976,0.147
977,0.148
978,0.149
979,0.151
980,0.152
981,0.153
982,0.155
983,0.156
984,0.157
985,0.159
986,0.161
987,0.162
988,0.164
989,0.165
990,0.167
991,0.168
992,0.17
993,0.171
994,0.173
995,0.174
996,0.176
997,0.178
998,0.181
999,0.182
1000,0.184
1010,0.192
1020,0.197
1030,0.202
1040,0.209
1050,0.196
1060,0.186
1070,0.179
1080,0.175
1090,0.172
1100,0.17
1110,0.168
1120,0.169
1130,0.165
1140,0.162
1150,0.163
1160,0.164
1170,0.166
1180,0.166
1190,0.165
1200,0.164
1210,0.164
1220,0.164
1230,0.163
1240,0.163
1250,0.163
1260,0.164
1270,0.163
1280,0.161
1290,0.16
1300,0.159
1310,0.16
1320,0.161
1330,0.161
1340,0.162
1350,0.162
1360,0.163
1370,0.168
1380,0.177
1390,0.187
1400,0.172
1410,0.175
1420,0.18
1430,0.189
1440,0.195
1450,0.195
1460,0.189
1470,0.172
1480,0.157
1490,0.152
1500,0.146
1510,0.14
1520,0.137
1530,0.136
1540,0.138
1550,0.143
1560,0.151
1570,0.161
1580,0.171
1590,0.181
1600,0.187
1610,0.189
1620,0.185
1630,0.174
1640,0.161
1650,0.152
1660,0.143
1670,0.134
1680,0.13
1690,0.129
1700,0.128
1710,0.128
1720,0.127
1730,0.127
1740,0.127
1750,0.126
1760,0.126
1770,0.126
1780,0.127
1790,0.128
1800,0.129
1810,0.13
1820,0.131
1830,0.132
1840,0.133
1850,0.134
1860,0.135
1870,0.136
1880,0.137
1890,0.138
1900,0.14
1910,0.14
1920,0.141
1930,0.142
1940,0.142
1950,0.143
1960,0.144
1970,0.145
1980,0.146
1990,0.147
2000,0.148
2010,0.149
2020,0.15
2030,0.151
2040,0.152
2050,0.153
2060,0.153
2070,0.154
2080,0.155
2090,0.156
2100,0.156
2110,0.157
2120,0.158
2130,0.159
2140,0.159
2150,0.16
2160,0.161
2170,0.161
2180,0.162
2190,0.163
2200,0.164
2210,0.164
2220,0.165
2230,0.166
2240,0.167
2250,0.167
2260,0.168
2270,0.169
2280,0.17
2290,0.171
2300,0.171
2310,0.172
2320,0.173
2330,0.174
2340,0.175
2350,0.175
2360,0.176
2370,0.177
2380,0.178
2390,0.178
2400,0.179
2410,0.18
2420,0.181
2430,0.182
2440,0.182
2450,0.183
2460,0.184
2470,0.184
2480,0.185
2490,0.186
2500,0.187
2510,0.188
2520,0.189
2530,0.19
2540,0.19
2550,0.191
2560,0.192
2570,0.193
2580,0.193
2590,0.194
2600,0.195
2610,0.196
2620,0.197
2630,0.197
2640,0.198
2650,0.199
2660,0.2
2670,0.201
2680,0.202
2690,0.203
2700,0.203
2710,0.205
2720,0.206
2730,0.207
2740,0.208
2750,0.209
2760,0.21
2770,0.212
2780,0.213
2790,0.215
2800,0.217
2810,0.22
2820,0.224
2830,0.229
2840,0.237
2850,0.245
