X,Y
332.6095,7094238
332.5848,6955571
332.5601,6816930
332.5353,6678414
332.5106,6540116
332.4859,6402113
332.4612,6264476
332.4364,6127254
332.4117,5990484
332.387,5854181
332.3623,5718340
332.3375,5582937
332.3128,5447924
332.2881,5313235
332.2633,5178784
332.2386,5044468
332.2139,4910167
332.1892,4775753
332.1644,4641086
332.1397,4506024
332.115,4370424
332.0903,4234151
332.0655,4097079
332.0408,3959097
332.0161,3820117
331.9914,3680076
331.9666,3538943
331.9419,3396721
331.9172,3253453
331.8924,3109225
331.8677,2964166
331.843,2818450
331.8183,2672300
331.7935,2525983
331.7688,2379807
331.7441,2234125
331.7194,2089324
331.6946,1945823
331.6699,1804067
331.6452,1664520
331.6204,1527656
331.5957,1393951
331.571,1263878
331.5463,1137892
331.5215,1016424
331.4968,899873
331.4721,788594
331.4474,682894
331.4226,583021
331.3979,489157
331.3732,401416
331.3484,319837
331.3237,244381
331.299,174930
331.2743,111288
331.2495,53179
331.2248,254
331.2001,-47906
331.1754,-91786
331.1506,-131928
331.1259,-168921
331.1012,-203396
331.0765,-236010
331.0517,-267439
331.027,-298368
331.0023,-329473
330.9775,-361416
330.9528,-394832
330.9281,-430316
330.9034,-468416
330.8786,-509623
330.8539,-554364
330.8292,-602995
330.8045,-655794
330.7797,-712963
330.755,-774623
330.7303,-840812
330.7055,-911492
330.6808,-986548
330.6561,-1065793
330.6314,-1148977
330.6066,-1235791
330.5819,-1325878
330.5572,-1418841
330.5325,-1514253
330.5077,-1611668
330.483,-1710629
330.4583,-1810682
330.4336,-1911383
330.4088,-2012309
330.3841,-2113066
330.3594,-2213295
330.3346,-2312682
330.3099,-2410961
330.2852,-2507917
330.2605,-2603391
330.2357,-2697278
330.211,-2789529
330.1863,-2880147
330.1616,-2969187
330.1368,-3056746
330.1121,-3142963
330.0874,-3228011
330.0626,-3312087
330.0379,-3395408
330.0132,-3478203
329.9885,-3560702
329.9637,-3643130
329.939,-3725701
329.9143,-3808609
329.8896,-3892022
329.8648,-3976080
329.8401,-4060885
329.8154,-4146502
329.7907,-4232960
329.7659,-4320243
329.7412,-4408297
329.7165,-4497033
329.6917,-4586324
329.667,-4676013
329.6423,-4765918
329.6176,-4855838
329.5928,-4945555
329.5681,-5034847
329.5434,-5123490
329.5187,-5211267
329.4939,-5297974
329.4692,-5383428
329.4445,-5467468
329.4197,-5549966
329.395,-5630828
329.3703,-5709996
329.3456,-5787453
329.3208,-5863221
329.2961,-5937364
329.2714,-6009982
329.2467,-6081213
329.2219,-6151228
329.1972,-6220223
329.1725,-6288421
329.1478,-6356059
329.123,-6423385
329.0983,-6490649
329.0736,-6558100
329.0488,-6625975
329.0241,-6694494
328.9994,-6763853
328.9747,-6834221
328.9499,-6905732
328.9252,-6978482
328.9005,-7052526
328.8758,-7127878
328.851,-7204507
328.8263,-7282339
328.8016,-7361258
328.7768,-7441109
328.7521,-7521701
328.7274,-7602811
328.7027,-7684191
328.6779,-7765572
328.6532,-7846670
328.6285,-7927192
328.6038,-8006847
328.579,-8085346
328.5543,-8162414
328.5296,-8237791
328.5049,-8311240
328.4801,-8382553
328.4554,-8451551
328.4307,-8518088
328.4059,-8582054
328.3812,-8643375
328.3565,-8702014
328.3318,-8757964
328.307,-8811255
328.2823,-8861943
328.2576,-8910110
328.2329,-8955858
328.2081,-8999307
328.1834,-9040585
328.1587,-9079825
328.1339,-9117162
328.1092,-9152725
328.0845,-9186631
328.0598,-9218985
328.035,-9249874
328.0103,-9279364
327.9856,-9307499
327.9609,-9334301
327.9361,-9359767
327.9114,-9383876
327.8867,-9406583
327.862,-9427832
327.8372,-9447549
327.8125,-9465656
327.7878,-9482071
327.763,-9496716
327.7383,-9509521
327.7136,-9520433
327.6889,-9529417
327.6641,-9536468
327.6394,-9541610
327.6147,-9544905
327.59,-9546453
327.5652,-9546397
327.5405,-9544923
327.5158,-9542263
327.491,-9538690
327.4663,-9534517
327.4416,-9530096
327.4169,-9525809
327.3921,-9522068
327.3674,-9519300
327.3427,-9517946
327.318,-9518450
327.2932,-9521248
327.2685,-9526763
327.2438,-9535389
327.219,-9547489
327.1943,-9563380
327.1696,-9583326
327.1449,-9607535
327.1201,-9636144
327.0954,-9669220
327.0707,-9706755
327.046,-9748661
327.0212,-9794771
326.9965,-9844840
326.9718,-9898546
326.9471,-9955495
326.9223,-10015226
326.8976,-10077219
326.8729,-10140901
326.8481,-10205661
326.8234,-10270855
326.7987,-10335820
326.774,-10399886
326.7492,-10462388
326.7245,-10522678
326.6998,-10580140
326.6751,-10634198
326.6503,-10684328
326.6256,-10730069
326.6009,-10771032
326.5761,-10806908
326.5514,-10837473
326.5267,-10862592
326.502,-10882224
326.4772,-10896422
326.4525,-10905332
326.4278,-10909193
326.4031,-10908329
326.3783,-10903148
326.3536,-10894133
326.3289,-10881833
326.3042,-10866856
326.2794,-10849855
326.2547,-10831524
326.23,-10812580
326.2052,-10793755
326.1805,-10775782
326.1558,-10759388
326.1311,-10745278
326.1063,-10734127
326.0816,-10726572
326.0569,-10723200
326.0322,-10724541
326.0074,-10731062
325.9827,-10743162
325.958,-10761167
325.9332,-10785325
325.9085,-10815806
325.8838,-10852700
325.8591,-10896018
325.8343,-10945693
325.8096,-11001581
325.7849,-11063464
325.7602,-11131055
325.7354,-11203998
325.7107,-11281879
325.686,-11364224
325.6613,-11450510
325.6365,-11540165
325.6118,-11632578
325.5871,-11727101
325.5623,-11823054
325.5376,-11919736
325.5129,-12016422
325.4882,-12112375
325.4634,-12206845
325.4387,-12299081
325.414,-12388327
325.3893,-12473838
325.3645,-12554873
325.3398,-12630710
325.3151,-12700644
325.2903,-12763999
325.2656,-12820125
325.2409,-12868411
325.2162,-12908288
325.1914,-12939233
325.1667,-12960778
325.142,-12972514
325.1173,-12974096
325.0925,-12965253
325.0678,-12945788
325.0431,-12915586
325.0184,-12874619
324.9936,-12822949
324.9689,-12760732
324.9442,-12688220
324.9194,-12605763
324.8947,-12513807
324.87,-12412896
324.8453,-12303670
324.8205,-12186859
324.7958,-12063277
324.7711,-11933820
324.7464,-11799455
324.7216,-11661210
324.6969,-11520166
324.6722,-11377444
324.6474,-11234190
324.6227,-11091566
324.598,-10950731
324.5733,-10812830
324.5485,-10678977
324.5238,-10550238
324.4991,-10427624
324.4744,-10312066
324.4496,-10204413
324.4249,-10105411
324.4002,-10015697
324.3755,-9935792
324.3507,-9866086
324.326,-9806841
324.3013,-9758183
324.2765,-9720102
324.2518,-9692453
324.2271,-9674961
324.2024,-9667223
324.1776,-9668719
324.1529,-9678820
324.1282,-9696799
324.1035,-9721846
324.0787,-9753078
324.054,-9789560
324.0293,-9830316
324.0045,-9874349
323.9798,-9920655
323.9551,-9968244
323.9304,-10016149
323.9056,-10063448
323.8809,-10109274
323.8562,-10152830
323.8315,-10193397
323.8067,-10230349
323.782,-10263154
323.7573,-10291383
323.7326,-10314713
323.7078,-10332926
323.6831,-10345911
323.6584,-10353657
323.6336,-10356253
323.6089,-10353875
323.5842,-10346783
323.5595,-10335307
323.5347,-10319838
323.51,-10300818
323.4853,-10278724
323.4606,-10254057
323.4358,-10227331
323.4111,-10199061
323.3864,-10169747
323.3616,-10139871
323.3369,-10109879
323.3122,-10080181
323.2875,-10051138
323.2627,-10023062
323.238,-9996207
323.2133,-9970774
323.1886,-9946905
323.1638,-9924687
323.1391,-9904155
323.1144,-9885299
323.0897,-9868065
323.0649,-9852364
323.0402,-9838082
323.0155,-9825083
322.9907,-9813224
322.966,-9802357
322.9413,-9792342
322.9166,-9783054
322.8918,-9774387
322.8671,-9766266
322.8424,-9758649
322.8177,-9751531
322.7929,-9744946
322.7682,-9738972
322.7435,-9733727
322.7187,-9729371
322.694,-9726099
322.6693,-9724140
322.6446,-9723750
322.6198,-9725204
322.5951,-9728792
322.5704,-9734808
322.5457,-9743539
322.5209,-9755262
322.4962,-9770229
322.4715,-9788663
322.4467,-9810746
322.422,-9836611
322.3973,-9866339
322.3726,-9899950
322.3478,-9937400
322.3231,-9978578
322.2984,-10023303
322.2737,-10071327
322.2489,-10122335
322.2242,-10175947
322.1995,-10231726
322.1748,-10289182
322.15,-10347780
322.1253,-10406950
322.1006,-10466095
322.0758,-10524603
322.0511,-10581858
322.0264,-10637251
322.0017,-10690191
321.9769,-10740117
321.9522,-10786508
321.9275,-10828896
321.9028,-10866872
321.878,-10900095
321.8533,-10928299
321.8286,-10951300
321.8038,-10968999
321.7791,-10981381
321.7544,-10988524
321.7297,-10990587
321.7049,-10987817
321.6802,-10980540
321.6555,-10969156
321.6308,-10954132
321.606,-10935993
321.5813,-10915316
321.5566,-10892714
321.5319,-10868833
321.5071,-10844331
321.4824,-10819877
321.4577,-10796133
321.4329,-10773745
321.4082,-10753331
321.3835,-10735476
321.3588,-10720715
321.334,-10709534
321.3093,-10702356
321.2846,-10699538
321.2599,-10701369
321.2351,-10708063
321.2104,-10719760
321.1857,-10736526
321.1609,-10758351
321.1362,-10785156
321.1115,-10816793
321.0868,-10853052
321.062,-10893663
321.0373,-10938306
321.0126,-10986617
320.9879,-11038194
320.9631,-11092605
320.9384,-11149397
320.9137,-11208103
320.889,-11268250
320.8642,-11329364
320.8395,-11390982
320.8148,-11452653
320.79,-11513948
320.7653,-11574461
320.7406,-11633818
320.7159,-11691677
320.6911,-11747733
320.6664,-11801717
320.6417,-11853401
320.617,-11902598
320.5922,-11949158
