X,Y
399.69 ,0.00 
400.17 ,0.00 
400.66 ,0.00 
401.14 ,0.00 
401.62 ,0.00 
402.10 ,0.00 
402.58 ,0.00 
403.07 ,0.00 
403.55 ,0.00 
404.03 ,0.00 
404.51 ,0.00 
405.00 ,0.00 
405.48 ,0.01 
405.96 ,0.01 
406.44 ,0.01 
406.92 ,0.01 
407.41 ,0.01 
407.89 ,0.01 
408.37 ,0.01 
408.85 ,0.01 
409.33 ,0.01 
409.82 ,0.01 
410.30 ,0.01 
410.78 ,0.01 
411.26 ,0.01 
411.75 ,0.01 
412.23 ,0.01 
412.71 ,0.01 
413.19 ,0.01 
413.67 ,0.01 
414.16 ,0.01 
414.64 ,0.02 
415.12 ,0.02 
415.60 ,0.02 
416.08 ,0.02 
416.57 ,0.02 
417.05 ,0.02 
417.53 ,0.02 
418.01 ,0.02 
418.49 ,0.02 
418.98 ,0.02 
419.46 ,0.02 
419.94 ,0.02 
420.42 ,0.02 
420.91 ,0.02 
421.39 ,0.02 
421.87 ,0.02 
422.35 ,0.02 
422.83 ,0.02 
423.32 ,0.02 
423.80 ,0.02 
424.28 ,0.02 
424.76 ,0.02 
425.24 ,0.02 
425.73 ,0.02 
426.21 ,0.02 
426.69 ,0.02 
427.17 ,0.02 
427.66 ,0.02 
428.14 ,0.02 
428.62 ,0.02 
429.10 ,0.02 
429.58 ,0.02 
430.07 ,0.02 
430.55 ,0.02 
431.03 ,0.02 
431.51 ,0.02 
431.99 ,0.02 
432.48 ,0.02 
432.96 ,0.02 
433.44 ,0.02 
433.92 ,0.02 
434.41 ,0.02 
434.89 ,0.03 
435.37 ,0.03 
435.85 ,0.03 
436.33 ,0.03 
436.82 ,0.03 
437.30 ,0.02 
437.78 ,0.02 
438.26 ,0.02 
438.74 ,0.02 
439.23 ,0.02 
439.71 ,0.02 
440.19 ,0.02 
440.67 ,0.02 
441.16 ,0.02 
441.64 ,0.02 
442.12 ,0.02 
442.60 ,0.02 
443.08 ,0.02 
443.57 ,0.01 
444.05 ,0.01 
444.53 ,0.01 
445.01 ,0.01 
445.49 ,0.01 
445.98 ,0.01 
446.46 ,0.01 
446.94 ,0.02 
447.42 ,0.02 
447.91 ,0.02 
448.39 ,0.02 
448.87 ,0.02 
449.35 ,0.02 
449.83 ,0.02 
450.32 ,0.02 
450.80 ,0.02 
451.28 ,0.02 
451.76 ,0.02 
452.24 ,0.02 
452.73 ,0.02 
453.21 ,0.02 
453.69 ,0.02 
454.17 ,0.02 
454.66 ,0.02 
455.14 ,0.02 
455.62 ,0.03 
456.10 ,0.03 
456.58 ,0.03 
457.07 ,0.03 
457.55 ,0.03 
458.03 ,0.03 
458.51 ,0.03 
458.99 ,0.03 
459.48 ,0.03 
459.96 ,0.03 
460.44 ,0.03 
460.92 ,0.03 
461.41 ,0.03 
461.89 ,0.03 
462.37 ,0.03 
462.85 ,0.04 
463.33 ,0.04 
463.82 ,0.04 
464.30 ,0.04 
464.78 ,0.04 
465.26 ,0.04 
465.74 ,0.04 
466.23 ,0.04 
466.71 ,0.04 
467.19 ,0.05 
467.67 ,0.05 
468.16 ,0.05 
468.64 ,0.05 
469.12 ,0.05 
469.60 ,0.05 
470.08 ,0.05 
470.57 ,0.05 
471.05 ,0.05 
471.53 ,0.05 
472.01 ,0.05 
472.49 ,0.05 
472.98 ,0.04 
473.46 ,0.04 
473.94 ,0.04 
474.42 ,0.04 
474.91 ,0.04 
475.39 ,0.04 
475.87 ,0.04 
476.35 ,0.04 
476.83 ,0.04 
477.32 ,0.04 
477.80 ,0.04 
478.28 ,0.04 
478.76 ,0.03 
479.24 ,0.03 
479.73 ,0.03 
480.21 ,0.03 
480.69 ,0.03 
481.17 ,0.03 
481.65 ,0.03 
482.14 ,0.03 
482.62 ,0.03 
483.10 ,0.03 
483.58 ,0.03 
484.07 ,0.03 
484.55 ,0.03 
485.03 ,0.02 
485.51 ,0.02 
485.99 ,0.02 
486.48 ,0.02 
486.96 ,0.02 
487.44 ,0.02 
487.92 ,0.02 
488.40 ,0.02 
488.89 ,0.02 
489.37 ,0.02 
489.85 ,0.02 
490.33 ,0.02 
490.82 ,0.01 
491.30 ,0.01 
491.78 ,0.01 
492.26 ,0.01 
492.74 ,0.01 
493.23 ,0.01 
493.71 ,0.01 
494.19 ,0.01 
494.67 ,0.01 
495.15 ,0.01 
495.64 ,0.01 
496.12 ,0.01 
496.60 ,0.01 
497.08 ,0.01 
497.57 ,0.01 
498.05 ,0.01 
498.53 ,0.01 
499.01 ,0.01 
499.49 ,0.01 
499.98 ,0.01 
500.46 ,0.01 
500.94 ,0.01 
501.42 ,0.01 
501.90 ,0.01 
502.39 ,0.01 
502.87 ,0.01 
503.35 ,0.01 
503.83 ,0.01 
504.32 ,0.01 
504.80 ,0.01 
505.28 ,0.01 
505.76 ,0.01 
506.24 ,0.01 
506.73 ,0.01 
507.21 ,0.02 
507.69 ,0.02 
508.17 ,0.02 
508.65 ,0.02 
509.14 ,0.02 
509.62 ,0.02 
510.10 ,0.02 
