X,Y
302.6095,3330404
302.5848,3234315
302.5601,3141103
302.5353,3050963
302.5106,2964024
302.4859,2880345
302.4612,2799922
302.4364,2722683
302.4117,2648493
302.387,2577160
302.3623,2508434
302.3375,2442022
302.3128,2377589
302.2881,2314764
302.2633,2253155
302.2386,2192351
302.2139,2131934
302.1892,2071487
302.1644,2010603
302.1397,1948891
302.115,1885984
302.0903,1821549
302.0655,1755286
302.0408,1686942
302.0161,1616307
301.9914,1543219
301.9666,1467569
301.9419,1389297
301.9172,1308394
301.8924,1224899
301.8677,1138898
301.843,1050518
301.8183,959924
301.7935,867311
301.7688,772904
301.7441,676946
301.7194,579691
301.6946,481402
301.6699,382340
301.6452,282761
301.6204,182902
301.5957,82986
301.571,-16791
301.5463,-116268
301.5215,-215311
301.4968,-313828
301.4721,-411765
301.4474,-509109
301.4226,-605889
301.3979,-702175
301.3732,-798077
301.3484,-893741
301.3237,-989350
301.299,-1085115
301.2743,-1181275
301.2495,-1278089
301.2248,-1375833
301.2001,-1474791
301.1754,-1575254
301.1506,-1677508
301.1259,-1781835
301.1012,-1888501
301.0765,-1997754
301.0517,-2109818
301.027,-2224888
301.0023,-2343128
300.9775,-2464666
300.9528,-2589590
300.9281,-2717948
300.9034,-2849748
300.8786,-2984953
300.8539,-3123485
300.8292,-3265226
300.8045,-3410017
300.7797,-3557660
300.755,-3707926
300.7303,-3860551
300.7055,-4015246
300.6808,-4171694
300.6561,-4329562
300.6314,-4488499
300.6066,-4648145
300.5819,-4808130
300.5572,-4968086
300.5325,-5127643
300.5077,-5286438
300.483,-5444116
300.4583,-5600338
300.4336,-5754777
300.4088,-5907125
300.3841,-6057094
300.3594,-6204419
300.3346,-6348858
300.3099,-6490191
300.2852,-6628225
300.2605,-6762792
300.2357,-6893745
300.211,-7020966
300.1863,-7144358
300.1616,-7263846
300.1368,-7379378
300.1121,-7490922
300.0874,-7598467
300.0626,-7702017
300.0379,-7801595
300.0132,-7897239
299.9885,-7989001
299.9637,-8076950
299.939,-8161163
299.9143,-8241733
299.8896,-8318761
299.8648,-8392360
299.8401,-8462655
299.8154,-8529778
299.7907,-8593871
299.7659,-8655087
299.7412,-8713586
299.7165,-8769537
299.6917,-8823117
299.667,-8874512
299.6423,-8923915
299.6176,-8971524
299.5928,-9017544
299.5681,-9062185
299.5434,-9105663
299.5187,-9148192
299.4939,-9189994
299.4692,-9231284
299.4445,-9272281
299.4197,-9313197
299.395,-9354240
299.3703,-9395610
299.3456,-9437500
299.3208,-9480089
299.2961,-9523543
299.2714,-9568015
299.2467,-9613639
299.2219,-9660532
299.1972,-9708791
299.1725,-9758491
299.1478,-9809686
299.123,-9862407
299.0983,-9916661
299.0736,-9972433
299.0488,-10029685
299.0241,-10088357
298.9994,-10148366
298.9747,-10209610
298.9499,-10271968
298.9252,-10335303
298.9005,-10399462
298.8758,-10464277
298.851,-10529574
298.8263,-10595168
298.8016,-10660868
298.7768,-10726481
298.7521,-10791814
298.7274,-10856673
298.7027,-10920872
298.6779,-10984227
298.6532,-11046566
298.6285,-11107724
298.6038,-11167548
298.579,-11225899
298.5543,-11282650
298.5296,-11337687
298.5049,-11390912
298.4801,-11442240
298.4554,-11491601
298.4307,-11538938
298.4059,-11584208
298.3812,-11627377
298.3565,-11668425
298.3318,-11707341
298.307,-11744121
298.2823,-11778772
298.2576,-11811303
298.2329,-11841732
298.2081,-11870079
298.1834,-11896368
298.1587,-11920627
298.1339,-11942884
298.1092,-11963171
298.0845,-11981522
298.0598,-11997973
298.035,-12012564
298.0103,-12025338
297.9856,-12036341
297.9609,-12045628
297.9361,-12053258
297.9114,-12059302
297.8867,-12063836
297.862,-12066951
297.8372,-12068749
297.8125,-12069345
297.7878,-12068870
297.763,-12067471
297.7383,-12065309
297.7136,-12062564
297.6889,-12059431
297.6641,-12056121
297.6394,-12052860
297.6147,-12049889
297.59,-12047460
297.5652,-12045834
297.5405,-12045282
297.5158,-12046075
297.491,-12048489
297.4663,-12052796
297.4416,-12059259
297.4169,-12068133
297.3921,-12079656
297.3674,-12094049
297.3427,-12111508
297.318,-12132200
297.2932,-12156264
297.2685,-12183800
297.2438,-12214873
297.219,-12249506
297.1943,-12287677
297.1696,-12329322
297.1449,-12374331
297.1201,-12422546
297.0954,-12473767
297.0707,-12527748
297.046,-12584201
297.0212,-12642801
296.9965,-12703186
296.9718,-12764963
296.9471,-12827714
296.9223,-12890998
296.8976,-12954362
296.8729,-13017343
296.8481,-13079475
296.8234,-13140299
296.7987,-13199368
296.774,-13256252
296.7492,-13310548
296.7245,-13361885
296.6998,-13409928
296.6751,-13454388
296.6503,-13495022
296.6256,-13531641
296.6009,-13564113
296.5761,-13592361
296.5514,-13616370
296.5267,-13636188
296.502,-13651920
296.4772,-13663733
296.4525,-13671849
296.4278,-13676545
296.4031,-13678150
296.3783,-13677035
296.3536,-13673613
296.3289,-13668329
296.3042,-13661657
296.2794,-13654089
296.2547,-13646130
296.23,-13638290
296.2052,-13631073
296.1805,-13624977
296.1558,-13620479
296.1311,-13618030
296.1063,-13618051
296.0816,-13620923
296.0569,-13626984
296.0322,-13636524
296.0074,-13649781
