X,Y
3.996747e+002,5.344804e-003
4.001569e+002,5.620332e+001
4.006390e+002,5.592453e+001
4.011211e+002,5.570940e+001
4.016032e+002,5.552880e+001
4.020853e+002,5.535124e+001
4.025674e+002,5.516986e+001
4.030496e+002,5.500595e+001
4.035317e+002,5.489608e+001
4.040138e+002,5.486883e+001
4.044959e+002,5.492222e+001
4.049780e+002,5.501384e+001
4.054601e+002,5.506861e+001
4.059423e+002,5.500905e+001
4.064244e+002,5.479669e+001
4.069065e+002,5.445985e+001
4.073886e+002,5.408425e+001
4.078707e+002,5.377380e+001
4.083528e+002,5.360735e+001
4.088350e+002,5.360971e+001
4.093171e+002,5.374281e+001
4.097992e+002,5.391961e+001
4.102813e+002,5.403952e+001
4.107634e+002,5.403230e+001
4.112455e+002,5.388266e+001
4.117277e+002,5.362129e+001
4.122098e+002,5.329654e+001
4.126919e+002,5.294802e+001
4.131740e+002,5.259392e+001
4.136561e+002,5.223448e+001
4.141382e+002,5.186434e+001
4.146204e+002,5.148518e+001
4.151025e+002,5.111005e+001
4.155846e+002,5.075799e+001
4.160667e+002,5.044445e+001
4.165488e+002,5.017376e+001
4.170309e+002,4.993523e+001
4.175131e+002,4.970562e+001
4.179952e+002,4.946064e+001
4.184773e+002,4.919517e+001
4.189594e+002,4.893704e+001
4.194415e+002,4.873438e+001
4.199236e+002,4.862307e+001
4.204058e+002,4.860467e+001
4.208879e+002,4.864893e+001
4.213700e+002,4.871107e+001
4.218521e+002,4.874969e+001
4.223342e+002,4.873933e+001
4.228163e+002,4.867582e+001
4.232985e+002,4.857326e+001
4.237806e+002,4.845497e+001
4.242627e+002,4.834253e+001
4.247448e+002,4.824725e+001
4.252269e+002,4.816783e+001
4.257090e+002,4.809501e+001
4.261912e+002,4.801942e+001
4.266733e+002,4.793732e+001
4.271554e+002,4.785043e+001
4.276375e+002,4.776078e+001
4.281196e+002,4.766495e+001
4.286017e+002,4.755186e+001
4.290839e+002,4.740653e+001
4.295660e+002,4.721900e+001
4.300481e+002,4.699383e+001
4.305302e+002,4.675397e+001
4.310123e+002,4.653581e+001
4.314944e+002,4.637798e+001
4.319766e+002,4.630867e+001
4.324587e+002,4.633688e+001
4.329408e+002,4.644769e+001
4.334229e+002,4.661109e+001
4.339050e+002,4.679412e+001
4.343871e+002,4.697427e+001
4.348693e+002,4.714640e+001
4.353514e+002,4.732072e+001
4.358335e+002,4.751344e+001
4.363156e+002,4.773597e+001
4.367977e+002,4.798846e+001
4.372798e+002,4.826033e+001
4.377620e+002,4.853754e+001
4.382441e+002,4.881071e+001
4.387262e+002,4.907822e+001
4.392083e+002,4.934320e+001
4.396904e+002,4.960773e+001
4.401725e+002,4.986769e+001
4.406547e+002,5.011261e+001
4.411368e+002,5.033031e+001
4.416189e+002,5.051436e+001
4.421010e+002,5.066941e+001
