X,Y
-394.652,-27.0544
-393.68,-27.0538
-392.709,-4.10285
-391.737,-0.340622
-390.766,-2.31483
-389.794,45.601
-388.823,127.01
-387.851,146.737
-386.88,97.6331
-385.908,69.7257
-384.937,76.1264
-383.965,77.0264
-382.993,92.7083
-382.022,131.166
-381.05,152.874
-380.079,155.149
-379.107,163.594
-378.136,171.296
-377.164,165.049
-376.193,154.281
-375.221,145.879
-374.25,141.833
-373.278,115.147
-372.307,45.1392
-371.335,11.531
-370.363,69.4887
-369.392,134.704
-368.42,125.201
-367.449,63.8425
-366.477,37.5746
-365.506,97.1229
-364.534,182.701
-363.563,205.195
-362.591,160.758
-361.62,85.5729
-360.648,-2.97
-359.676,-63.5681
-358.705,-45.6565
-357.733,44.5579
-356.762,130.068
-355.79,152.747
-354.819,157.759
-353.847,179.067
-352.876,190.373
-351.904,214.042
-350.933,265.654
-349.961,278.151
-348.99,223.497
-348.018,191.476
-347.046,245.868
-346.075,315.657
-345.103,315.901
-344.132,256.431
-343.16,186.761
-342.189,127.773
-341.217,104.457
-340.246,139.694
-339.274,179.54
-338.303,177.735
-337.331,165.49
-336.359,143.48
-335.388,104.482
-334.416,113.06
-333.445,189.35
-332.473,254.791
-331.502,253.501
-330.53,194.427
-329.559,122.8
-328.587,88.7585
-327.616,81.7642
-326.644,58.0494
-325.673,20.7469
-324.701,-2.79607
-323.729,-12.3997
-322.758,-11.9884
-321.786,9.38049
-320.815,46.2665
-319.843,72.4614
-318.872,55.5407
-317.9,13.8091
-316.929,7.67307
-315.957,23.7137
-314.986,22.7771
-314.014,12.0651
-313.042,6.02117
-312.071,16.3245
-311.099,29.8582
-310.128,34.3486
-309.156,33.8298
-308.185,19.5618
-307.213,-9.74208
-306.242,-39.9478
-305.27,-44.9797
-304.299,-25.5701
-303.327,1.0504
-302.356,59.9023
-301.384,157.742
-300.412,246.676
-299.441,290.977
-298.469,296.328
-297.498,276.553
-296.526,250.047
-295.555,239.601
-294.583,231.264
-293.612,202.967
-292.64,172.85
-291.669,188.779
-290.697,257.719
-289.725,293.494
-288.754,244.647
-287.782,178.793
-286.811,155.113
-285.839,152.215
-284.868,127.084
-283.896,83.8102
-282.925,74.6496
-281.953,109.177
-280.982,138.526
-280.01,137.675
-279.039,121.983
-278.067,130.316
-277.095,180.508
-276.124,238.7
-275.152,261.831
-274.181,232.713
-273.209,187.204
-272.238,164.546
-271.266,161.839
-270.295,171.832
-269.323,172.593
-268.352,143.888
-267.38,98.6479
-266.408,82.6092
-265.437,124.138
-264.465,177.005
-263.494,220.27
-262.522,262.802
-261.551,258.484
-260.579,202.893
-259.608,154.023
