X,Y
3.996747e+002,0.000000e+000
4.001569e+002,5.127042e+001
4.006390e+002,5.156051e+001
4.011211e+002,5.197033e+001
4.016032e+002,5.237749e+001
4.020853e+002,5.266963e+001
4.025674e+002,5.278935e+001
4.030496e+002,5.275134e+001
4.035317e+002,5.261985e+001
4.040138e+002,5.246380e+001
4.044959e+002,5.231670e+001
4.049780e+002,5.216394e+001
4.054601e+002,5.195764e+001
4.059423e+002,5.165457e+001
4.064244e+002,5.125272e+001
4.069065e+002,5.080312e+001
4.073886e+002,5.038380e+001
4.078707e+002,5.005985e+001
4.083528e+002,4.985184e+001
4.088350e+002,4.973130e+001
4.093171e+002,4.963502e+001
4.097992e+002,4.949902e+001
4.102813e+002,4.929346e+001
4.107634e+002,4.904090e+001
4.112455e+002,4.880167e+001
4.117277e+002,4.864034e+001
4.122098e+002,4.859103e+001
4.126919e+002,4.864161e+001
4.131740e+002,4.873582e+001
4.136561e+002,4.879772e+001
4.141382e+002,4.876637e+001
4.146204e+002,4.862359e+001
4.151025e+002,4.839416e+001
4.155846e+002,4.812399e+001
4.160667e+002,4.785156e+001
4.165488e+002,4.759211e+001
4.170309e+002,4.733367e+001
4.175131e+002,4.704810e+001
4.179952e+002,4.671347e+001
4.184773e+002,4.634121e+001
4.189594e+002,4.597913e+001
4.194415e+002,4.568041e+001
4.199236e+002,4.546227e+001
4.204058e+002,4.529953e+001
4.208879e+002,4.514659e+001
4.213700e+002,4.496626e+001
4.218521e+002,4.474495e+001
4.223342e+002,4.449564e+001
4.228163e+002,4.424810e+001
4.232985e+002,4.403408e+001
4.237806e+002,4.387111e+001
4.242627e+002,4.375391e+001
4.247448e+002,4.365593e+001
4.252269e+002,4.354358e+001
4.257090e+002,4.339413e+001
4.261912e+002,4.320813e+001
4.266733e+002,4.300757e+001
4.271554e+002,4.282418e+001
4.276375e+002,4.268424e+001
4.281196e+002,4.259851e+001
4.286017e+002,4.255844e+001
4.290839e+002,4.254111e+001
4.295660e+002,4.251826e+001
4.300481e+002,4.246758e+001
4.305302e+002,4.237820e+001
4.310123e+002,4.225035e+001
4.314944e+002,4.208907e+001
4.319766e+002,4.190078e+001
4.324587e+002,4.169338e+001
4.329408e+002,4.148020e+001
4.334229e+002,4.128517e+001
4.339050e+002,4.114327e+001
4.343871e+002,4.109497e+001
4.348693e+002,4.117722e+001
4.353514e+002,4.141129e+001
4.358335e+002,4.179305e+001
4.363156e+002,4.228764e+001
4.367977e+002,4.283612e+001
4.372798e+002,4.337362e+001
4.377620e+002,4.385226e+001
4.382441e+002,4.425438e+001
4.387262e+002,4.459070e+001
4.392083e+002,4.488702e+001
4.396904e+002,4.517059e+001
4.401725e+002,4.546082e+001
4.406547e+002,4.576694e+001
4.411368e+002,4.609021e+001
4.416189e+002,4.642813e+001
4.421010e+002,4.677614e+001
4.425831e+002,4.712630e+001
4.430652e+002,4.746268e+001
4.435474e+002,4.776030e+001
4.440295e+002,4.798912e+001
4.445116e+002,4.812539e+001
4.449937e+002,4.816200e+001
4.454758e+002,4.811295e+001
4.459579e+002,4.800651e+001
4.464401e+002,4.787245e+001
4.469222e+002,4.772899e+001
4.474043e+002,4.757779e+001
4.478864e+002,4.740781e+001
4.483685e+002,4.720648e+001
4.488506e+002,4.697126e+001
4.493328e+002,4.671467e+001
4.498149e+002,4.645937e+001
4.502970e+002,4.622800e+001
4.507791e+002,4.603204e+001
4.512612e+002,4.586628e+001
4.517433e+002,4.570889e+001
4.522255e+002,4.552977e+001
4.527076e+002,4.530288e+001
4.531897e+002,4.501722e+001
4.536718e+002,4.467872e+001
4.541539e+002,4.430400e+001
4.546360e+002,4.391066e+001
4.551182e+002,4.351268e+001
4.556003e+002,4.312074e+001
4.560824e+002,4.274701e+001
4.565645e+002,4.240842e+001
4.570466e+002,4.212563e+001
4.575287e+002,4.191444e+001
4.580109e+002,4.177517e+001
4.584930e+002,4.168612e+001
4.589751e+002,4.160832e+001
4.594572e+002,4.149707e+001
4.599393e+002,4.131467e+001
4.604214e+002,4.103746e+001
4.609036e+002,4.065670e+001
4.613857e+002,4.017466e+001
4.618678e+002,3.959984e+001
4.623499e+002,3.894313e+001
4.628320e+002,3.821726e+001
4.633141e+002,3.743724e+001
4.637963e+002,3.661993e+001
4.642784e+002,3.578098e+001
4.647605e+002,3.493070e+001
4.652426e+002,3.407136e+001
4.657247e+002,3.319944e+001
4.662068e+002,3.231173e+001
4.666890e+002,3.141369e+001
4.671711e+002,3.052438e+001
4.676532e+002,2.967486e+001
4.681353e+002,2.889795e+001
4.686174e+002,2.821657e+001
4.690995e+002,2.763718e+001
4.695817e+002,2.715262e+001
4.700638e+002,2.675030e+001
4.705459e+002,2.642146e+001
4.710280e+002,2.616679e+001
4.715101e+002,2.599692e+001
4.719922e+002,2.592700e+001
4.724744e+002,2.596894e+001
4.729565e+002,2.612492e+001
4.734386e+002,2.638700e+001
4.739207e+002,2.674045e+001
4.744028e+002,2.716849e+001
4.748849e+002,2.765484e+001
4.753671e+002,2.818524e+001
4.758492e+002,2.874857e+001
4.763313e+002,2.933891e+001
4.768134e+002,2.995700e+001
4.772955e+002,3.060988e+001
4.777776e+002,3.130652e+001
4.782598e+002,3.205170e+001
4.787419e+002,3.283984e+001
4.792240e+002,3.365346e+001
4.797061e+002,3.446761e+001
4.801882e+002,3.525923e+001
4.806703e+002,3.601582e+001
4.811525e+002,3.673899e+001
4.816346e+002,3.744032e+001
4.821167e+002,3.813283e+001
4.825988e+002,3.882174e+001
4.830809e+002,3.950020e+001
4.835630e+002,4.015112e+001
4.840452e+002,4.075529e+001
4.845273e+002,4.129978e+001
4.850094e+002,4.178230e+001
4.854915e+002,4.220861e+001
4.859736e+002,4.258722e+001
4.864557e+002,4.292481e+001
4.869379e+002,4.322599e+001
4.874200e+002,4.349575e+001
4.879021e+002,4.374302e+001
4.883842e+002,4.398095e+001
4.888663e+002,4.422448e+001
4.893484e+002,4.448458e+001
4.898306e+002,4.476382e+001
4.903127e+002,4.505449e+001
4.907948e+002,4.534155e+001
4.912769e+002,4.560889e+001
4.917590e+002,4.584644e+001
4.922411e+002,4.605317e+001
4.927233e+002,4.623586e+001
4.932054e+002,4.640310e+001
4.936875e+002,4.656033e+001
4.941696e+002,4.670776e+001
4.946517e+002,4.684249e+001
4.951339e+002,4.696304e+001
4.956160e+002,4.707280e+001
4.960981e+002,4.717931e+001
4.965802e+002,4.729036e+001
4.970623e+002,4.740774e+001
4.975444e+002,4.752357e+001
4.980266e+002,4.762085e+001
4.985087e+002,4.767969e+001
4.989908e+002,4.768534e+001
4.994729e+002,4.763432e+001
4.999550e+002,4.753524e+001
5.004371e+002,4.740449e+001
5.009193e+002,4.725904e+001
5.014014e+002,4.711033e+001
5.018835e+002,4.696127e+001
5.023656e+002,4.680783e+001
5.028477e+002,4.664385e+001
5.033299e+002,4.646600e+001
5.038120e+002,4.627550e+001
5.042941e+002,4.607707e+001
5.047762e+002,4.587590e+001
5.052583e+002,4.567621e+001
5.057404e+002,4.548147e+001
5.062226e+002,4.529628e+001
5.067047e+002,4.512788e+001
5.071868e+002,4.498585e+001
5.076689e+002,4.487930e+001
5.081510e+002,4.481322e+001
5.086331e+002,4.478524e+001
5.091153e+002,4.478532e+001
5.095974e+002,4.479790e+001
5.100795e+002,4.480612e+001
5.105616e+002,4.479622e+001
5.110437e+002,4.476057e+001
5.115258e+002,4.469757e+001
5.120079e+002,4.460928e+001
5.124901e+002,4.449733e+001
5.129722e+002,4.436091e+001
5.134543e+002,4.419664e+001
5.139364e+002,4.400134e+001
5.144185e+002,4.377464e+001
5.149006e+002,4.352073e+001
5.153828e+002,4.324714e+001
5.158649e+002,4.296203e+001
5.163470e+002,4.267088e+001
5.168291e+002,4.237526e+001
5.173112e+002,4.207337e+001
5.177933e+002,4.176309e+001
5.182755e+002,4.144440e+001
5.187576e+002,4.112040e+001
5.192397e+002,4.079581e+001
5.197218e+002,4.047461e+001
5.202039e+002,4.015771e+001
5.206860e+002,3.984295e+001
5.211682e+002,3.952613e+001
5.216503e+002,3.920347e+001
5.221324e+002,3.887284e+001
5.226145e+002,3.853403e+001
5.230966e+002,3.818755e+001
5.235787e+002,3.783323e+001
5.240609e+002,3.746934e+001
5.245430e+002,3.709328e+001
5.250251e+002,3.670319e+001
5.255072e+002,3.629969e+001
5.259893e+002,3.588627e+001
5.264714e+002,3.546771e+001
5.269536e+002,3.504710e+001
5.274357e+002,3.462401e+001
5.279178e+002,3.419450e+001
5.283999e+002,3.375366e+001
5.288821e+002,3.329868e+001
5.293641e+002,3.283178e+001
5.298463e+002,3.236050e+001
5.303284e+002,3.189624e+001
5.308105e+002,3.145053e+001
5.312926e+002,3.103173e+001
5.317748e+002,3.064278e+001
5.322568e+002,3.028139e+001
5.327390e+002,2.994170e+001
5.332211e+002,2.961690e+001
5.337032e+002,2.930161e+001
5.341853e+002,2.899363e+001
5.346675e+002,2.869440e+001
5.351495e+002,2.840884e+001
5.356317e+002,2.814383e+001
5.361138e+002,2.790651e+001
5.365959e+002,2.770204e+001
5.370780e+002,2.753172e+001
5.375602e+002,2.739221e+001
5.380422e+002,2.727644e+001
5.385244e+002,2.717593e+001
5.390065e+002,2.708410e+001
5.394886e+002,2.699837e+001
5.399707e+002,2.692108e+001
5.404529e+002,2.685827e+001
5.409349e+002,2.681741e+001
5.414171e+002,2.680488e+001
5.418992e+002,2.682450e+001
5.423813e+002,2.687754e+001
5.428634e+002,2.696391e+001
5.433456e+002,2.708328e+001
5.438276e+002,2.723536e+001
5.443098e+002,2.741880e+001
5.447919e+002,2.762988e+001
5.452740e+002,2.786168e+001
5.457561e+002,2.810512e+001
5.462383e+002,2.835125e+001
5.467203e+002,2.859412e+001
5.472025e+002,2.883195e+001
5.476846e+002,2.906682e+001
5.481667e+002,2.930250e+001
5.486488e+002,2.954211e+001
5.491310e+002,2.978641e+001
5.496130e+002,3.003377e+001
5.500952e+002,3.028127e+001
5.505773e+002,3.052657e+001
5.510594e+002,3.076876e+001
5.515415e+002,3.100854e+001
5.520237e+002,3.124706e+001
5.525057e+002,3.148504e+001
5.529879e+002,3.172190e+001
5.534700e+002,3.195603e+001
5.539521e+002,3.218534e+001
5.544342e+002,3.240811e+001
5.549164e+002,3.262296e+001
5.553984e+002,3.282899e+001
5.558806e+002,3.302544e+001
5.563627e+002,3.321200e+001
5.568448e+002,3.338947e+001
5.573269e+002,3.356051e+001
5.578091e+002,3.372976e+001
5.582911e+002,3.390316e+001
5.587733e+002,3.408624e+001
5.592554e+002,3.428251e+001
5.597375e+002,3.449217e+001
5.602196e+002,3.471243e+001
5.607018e+002,3.493874e+001
5.611838e+002,3.516693e+001
5.616660e+002,3.539463e+001
5.621481e+002,3.562158e+001
5.626302e+002,3.584849e+001
5.631123e+002,3.607580e+001
5.635945e+002,3.630264e+001
5.640765e+002,3.652740e+001
5.645587e+002,3.674915e+001
5.650408e+002,3.696919e+001
5.655229e+002,3.719128e+001
5.660050e+002,3.742039e+001
5.664872e+002,3.765976e+001
5.669692e+002,3.790855e+001
5.674514e+002,3.816064e+001
5.679335e+002,3.840639e+001
