X,Y
-394.652,52.8212
-393.68,152.989
-392.709,202.407
-391.737,203.535
-390.766,175.404
-389.794,131.64
-388.823,107.611
-387.851,111.073
-386.88,109.426
-385.908,97.5327
-384.937,98.1646
-383.965,126.344
-382.993,170.742
-382.022,204.427
-381.05,234.432
-380.079,283.751
-379.107,329.958
-378.136,330.078
-377.164,295.053
-376.193,273.059
-375.221,267.264
-374.25,258.207
-373.278,260.052
-372.307,276.982
-371.335,274.509
-370.363,248.439
-369.392,245.684
-368.42,266.045
-367.449,255.229
-366.477,216.46
-365.506,201.801
-364.534,215.804
-363.563,228.384
-362.591,230.818
-361.62,216.403
-360.648,182.015
-359.676,157.787
-358.705,179.566
-357.733,251.63
-356.762,325.081
-355.79,344.835
-354.819,344.256
-353.847,375.125
-352.876,396.391
-351.904,373.194
-350.933,345.012
-349.961,338.048
-348.99,340.695
-348.018,324.419
-347.046,267.516
-346.075,206.55
-345.103,204.028
-344.132,262.252
-343.16,327.442
-342.189,359.876
-341.217,362.866
-340.246,356.13
-339.274,339.396
-338.303,301.368
-337.331,265.403
-336.359,261.005
-335.388,271.739
-334.416,287.984
-333.445,314.767
-332.473,318.769
-331.502,301.641
-330.53,311.809
-329.559,338.942
-328.587,343.186
-327.616,324.734
-326.644,310.643
-325.673,318.749
-324.701,352.367
-323.729,395.895
-322.758,384.432
-321.786,299.707
-320.815,223.019
-319.843,202.075
-318.872,229.665
-317.9,292.888
-316.929,351.202
-315.957,347.936
-314.986,273.326
-314.014,199.485
-313.042,197.829
-312.071,258.89
-311.099,330.477
-310.128,368.457
-309.156,357.261
-308.185,300.842
-307.213,217.014
-306.242,156.77
-305.27,154.652
-304.299,184.292
-303.327,217.43
-302.356,262.625
-301.384,322.278
-300.412,353.295
-299.441,332.13
-298.469,313.019
-297.498,342.605
-296.526,382.137
-295.555,357.806
-294.583,292.573
-293.612,282.112
-292.64,326.32
-291.669,368.058
-290.697,376.791
-289.725,338.522
-288.754,304.856
-287.782,335.092
-286.811,377.111
-285.839,347.93
-284.868,282.353
-283.896,262.789
-282.925,291.446
-281.953,335.138
-280.982,356.7
-280.01,326.425
-279.039,268.289
-278.067,229.364
-277.095,248.26
-276.124,332.84
-275.152,410.406
-274.181,390.551
-273.209,307.458
-272.238,261.804
-271.266,263.584
-270.295,273.563
-269.323,272.857
-268.352,256.693
-267.38,247.706
-266.408,259.666
-265.437,279.756
-264.465,318.562
-263.494,379.236
-262.522,410.654
-261.551,388.612
-260.579,333.714
-259.608,247.776
-258.636,179.329
-257.665,198.794
-256.693,274.247
-255.722,341.118
-254.75,377.59
-253.778,376.75
-252.807,349.633
-251.835,318.287
-250.864,291.794
-249.892,263.464
-248.921,238.466
-247.949,233.623
-246.978,232.488
-246.006,220.981
-245.035,227.203
-244.063,251.816
-243.091,268.267
-242.12,282.678
-241.148,282.061
-240.177,239.532
-239.205,195.335
-238.234,206.416
-237.262,270.296
-236.291,332.648
-235.319,343.072
-234.348,302.96
-233.376,257.714
-232.405,257.265
-231.433,287.651
-230.461,284.385
-229.49,239.483
-228.518,225.186
-227.547,302.57
-226.575,432.002
-225.604,526.136
-224.632,535.337
-223.661,459.143
-222.689,351.959
-221.718,276.167
-220.746,259.561
-219.774,295.301
-218.803,344.538
-217.831,372.667
-216.86,382.354
-215.888,390.909
-214.917,378.362
-213.945,345.211
-212.974,337.995
-212.002,337.048
-211.031,319.902
-210.059,337.901
-209.088,388.106
-208.116,396.804
-207.144,335.071
-206.173,251.332
-205.201,211.865
-204.23,229.37
-203.258,257.297
-202.287,251.315
-201.315,213.505
-200.344,188.306
-199.372,225.531
-198.401,293.392
-197.429,287.062
-196.457,206.106
-195.486,178.115
-194.514,247.652
-193.543,319.92
-192.571,341.89
-191.6,369.435
-190.628,416.722
-189.657,405.593
-188.685,319.343
-187.714,246.234
-186.742,250.657
-185.771,314.7
-184.799,376.125
