X,Y
3996.29139,0.04058
3994.36268,0.04058
3992.43397,0.04058
3990.50525,0.04058
3988.57654,0.04058
3986.64783,0.04058
3984.71912,0.04058
3982.79041,0.04049
3980.86169,0.0404
3978.93298,0.0403
3977.00427,0.04021
3975.07556,0.04015
3973.14685,0.04007
3971.21813,0.03999
3969.28942,0.0399
3967.36071,0.03983
3965.432,0.03976
3963.50328,0.0397
3961.57457,0.03962
3959.64586,0.03952
3957.71715,0.03942
3955.78844,0.03935
3953.85972,0.03929
3951.93101,0.03922
3950.0023,0.03916
3948.07359,0.03914
3946.14488,0.03913
3944.21616,0.03909
3942.28745,0.039
3940.35874,0.0389
3938.43003,0.03883
3936.50132,0.03874
3934.5726,0.03864
3932.64389,0.03856
3930.71518,0.03848
3928.78647,0.03838
3926.85776,0.03831
3924.92904,0.0383
3923.00033,0.03833
3921.07162,0.03834
3919.14291,0.03833
3917.2142,0.03832
3915.28548,0.03822
3913.35677,0.03796
3911.42806,0.03767
3909.49935,0.03747
3907.57064,0.03741
3905.64192,0.03746
3903.71321,0.03754
3901.7845,0.03761
3899.85579,0.03773
3897.92707,0.03788
3895.99836,0.03792
3894.06965,0.03784
3892.14094,0.03763
3890.21223,0.03733
3888.28351,0.03714
3886.3548,0.03713
3884.42609,0.0372
3882.49738,0.03724
3880.56867,0.03709
3878.63995,0.03689
3876.71124,0.03684
3874.78253,0.0368
3872.85382,0.03667
3870.92511,0.03665
3868.99639,0.03681
3867.06768,0.03698
3865.13897,0.03691
3863.21026,0.0365
3861.28155,0.03612
3859.35283,0.03603
3857.42412,0.0361
3855.49541,0.03625
3853.5667,0.03639
3851.63799,0.03643
3849.70927,0.03642
3847.78056,0.03644
3845.85185,0.03656
3843.92314,0.0366
3841.99443,0.03633
3840.06571,0.03602
3838.137,0.03608
3836.20829,0.03642
3834.27958,0.03672
3832.35086,0.03673
3830.42215,0.03652
3828.49344,0.03632
3826.56473,0.03607
3824.63602,0.03585
3822.7073,0.03591
3820.77859,0.03617
3818.84988,0.03636
3816.92117,0.03642
3814.99246,0.03647
3813.06374,0.03648
3811.13503,0.03631
3809.20632,0.03605
3807.27761,0.03589
3805.3489,0.03592
3803.42018,0.03601
3801.49147,0.0362
3799.56276,0.03652
3797.63405,0.03675
3795.70534,0.03676
3793.77662,0.03665
3791.84791,0.03656
3789.9192,0.03637
3787.99049,0.03611
3786.06178,0.03607
3784.13306,0.03616
3782.20435,0.03624
3780.27564,0.03626
3778.34693,0.03626
3776.41822,0.03626
3774.4895,0.03628
3772.56079,0.03633
3770.63208,0.03633
3768.70337,0.03627
3766.77465,0.03626
3764.84594,0.03639
3762.91723,0.03648
3760.98852,0.03635
3759.05981,0.03617
3757.13109,0.03609
3755.20238,0.036
3753.27367,0.03595
3751.34496,0.03619
3749.41625,0.03661
3747.48753,0.03688
3745.55882,0.03698
3743.63011,0.03712
3741.7014,0.03731
3739.77269,0.0374
3737.84397,0.0374
3735.91526,0.03744
3733.98655,0.03747
3732.05784,0.03733
3730.12913,0.03729
3728.20041,0.03752
3726.2717,0.03778
3724.34299,0.03777
3722.41428,0.03744
3720.48557,0.03711
3718.55685,0.03703
3716.62814,0.03718
3714.69943,0.03734
3712.77072,0.03732
3710.842,0.0372
3708.91329,0.03711
3706.98458,0.03705
3705.05587,0.03696
3703.12716,0.03673
3701.19844,0.03616
3699.26973,0.03529
3697.34102,0.03458
3695.41231,0.03436
3693.4836,0.03451
3691.55488,0.03478
3689.62617,0.03507
3687.69746,0.03535
3685.76875,0.03557
3683.84004,0.03588
3681.91132,0.03625
3679.98261,0.03641
3678.0539,0.03638
3676.12519,0.03638
3674.19648,0.03653
3672.26776,0.03675
3670.33905,0.03689
3668.41034,0.03684
3666.48163,0.03652
3664.55292,0.03601
3662.6242,0.03538
3660.69549,0.03469
3658.76678,0.03389
3656.83807,0.0331
3654.90936,0.03263
3652.98064,0.03243
3651.05193,0.03225
3649.12322,0.03203
3647.19451,0.03177
3645.26579,0.03147
3643.33708,0.03112
3641.40837,0.03075
3639.47966,0.03012
3637.55095,0.02924
3635.62223,0.02857
3633.69352,0.02831
3631.76481,0.02821
3629.8361,0.02793
3627.90739,0.02747
3625.97867,0.02705
3624.04996,0.02671
3622.12125,0.02645
3620.19254,0.02625
3618.26383,0.02604
3616.33511,0.02587
3614.4064,0.02601
3612.47769,0.02648
3610.54898,0.02699
3608.62027,0.02731
3606.69155,0.0274
3604.76284,0.02744
3602.83413,0.02754
3600.90542,0.02766
3598.97671,0.02767
3597.04799,0.02756
3595.11928,0.02753
3593.19057,0.02769
3591.26186,0.02796
3589.33315,0.02817
3587.40443,0.02832
3585.47572,0.02842
3583.54701,0.02849
3581.6183,0.02855
3579.68958,0.02857
3577.76087,0.02843
3575.83216,0.02816
3573.90345,0.02798
3571.97474,0.02803
3570.04602,0.0282
3568.11731,0.02837
3566.1886,0.02849
3564.25989,0.02856
3562.33118,0.02857
3560.40246,0.02856
3558.47375,0.0285
3556.54504,0.0283
3554.61633,0.02801
3552.68762,0.02784
3550.7589,0.02783
3548.83019,0.02786
3546.90148,0.02785
3544.97277,0.02784
3543.04406,0.02781
3541.11534,0.02773
3539.18663,0.02759
3537.25792,0.02742
3535.32921,0.02722
3533.4005,0.027
3531.47178,0.02687
3529.54307,0.02682
3527.61436,0.02678
3525.68565,0.02672
3523.75694,0.02666
3521.82822,0.0266
3519.89951,0.02652
3517.9708,0.0264
3516.04209,0.02625
3514.11337,0.02607
3512.18466,0.02591
3510.25595,0.02581
3508.32724,0.02578
3506.39853,0.02576
3504.46981,0.02573
3502.5411,0.0257
3500.61239,0.02567
3498.68368,0.0256
3496.75497,0.02551
3494.82625,0.02543
3492.89754,0.02532
3490.96883,0.02517
3489.04012,0.02507
3487.11141,0.02502
3485.18269,0.02497
3483.25398,0.02489
3481.32527,0.0248
3479.39656,0.02473
3477.46785,0.02468
3475.53913,0.02465
3473.61042,0.02464
3471.68171,0.02461
3469.753,0.02454
3467.82429,0.02447
3465.89557,0.0244
3463.96686,0.0243
3462.03815,0.02415
3460.10944,0.02397
3458.18072,0.02377
3456.25201,0.0236
3454.3233,0.02348
3452.39459,0.02338
3450.46588,0.02326
3448.53716,0.02315
3446.60845,0.02306
3444.67974,0.02302
3442.75103,0.02298
3440.82232,0.02293
3438.8936,0.02287
3436.96489,0.02278
3435.03618,0.02263
3433.10747,0.02245
3431.17876,0.02222
3429.25004,0.02195
3427.32133,0.02165
3425.39262,0.02134
3423.46391,0.02105
3421.5352,0.02079
3419.60648,0.02055
3417.67777,0.02032
3415.74906,0.02009
3413.82035,0.01984
3411.89164,0.01959
3409.96292,0.01935
3408.03421,0.01912
3406.1055,0.01887
3404.17679,0.0186
3402.24808,0.01832
3400.31936,0.01806
3398.39065,0.01781
3396.46194,0.01754
3394.53323,0.01722
3392.60451,0.01685
3390.6758,0.01646
3388.74709,0.0161
3386.81838,0.01579
3384.88967,0.01546
3382.96095,0.01512
3381.03224,0.01479
3379.10353,0.01451
3377.17482,0.01431
3375.24611,0.01411
3373.31739,0.01388
3371.38868,0.01361
3369.45997,0.01332
3367.53126,0.01303
3365.60255,0.01271
3363.67383,0.01237
3361.74512,0.01201
3359.81641,0.01166
3357.8877,0.01134
3355.95899,0.01106
3354.03027,0.0108
3352.10156,0.01055
3350.17285,0.0103
3348.24414,0.01007
3346.31543,0.00984
3344.38671,0.0096
