X,Y
3.996747e+002,0.000000e+000
4.001569e+002,6.629412e+001
4.006390e+002,6.619341e+001
4.011211e+002,6.605894e+001
4.016032e+002,6.586736e+001
4.020853e+002,6.560052e+001
4.025674e+002,6.526957e+001
4.030496e+002,6.492161e+001
4.035317e+002,6.462369e+001
4.040138e+002,6.443586e+001
4.044959e+002,6.438599e+001
4.049780e+002,6.445704e+001
4.054601e+002,6.458757e+001
4.059423e+002,6.469225e+001
4.064244e+002,6.469760e+001
4.069065e+002,6.457768e+001
4.073886e+002,6.436169e+001
4.078707e+002,6.411258e+001
4.083528e+002,6.389235e+001
4.088350e+002,6.373467e+001
4.093171e+002,6.363380e+001
4.097992e+002,6.355135e+001
4.102813e+002,6.343817e+001
4.107634e+002,6.326139e+001
4.112455e+002,6.301919e+001
4.117277e+002,6.273451e+001
4.122098e+002,6.243666e+001
4.126919e+002,6.214386e+001
4.131740e+002,6.185427e+001
4.136561e+002,6.154957e+001
4.141382e+002,6.120591e+001
4.146204e+002,6.080748e+001
4.151025e+002,6.035238e+001
4.155846e+002,5.984939e+001
4.160667e+002,5.931030e+001
4.165488e+002,5.874590e+001
4.170309e+002,5.816802e+001
4.175131e+002,5.759743e+001
4.179952e+002,5.707137e+001
4.184773e+002,5.663934e+001
4.189594e+002,5.634067e+001
4.194415e+002,5.617847e+001
4.199236e+002,5.611647e+001
4.204058e+002,5.610069e+001
4.208879e+002,5.608245e+001
4.213700e+002,5.603139e+001
4.218521e+002,5.593795e+001
4.223342e+002,5.581120e+001
4.228163e+002,5.567341e+001
4.232985e+002,5.555193e+001
4.237806e+002,5.546964e+001
4.242627e+002,5.543612e+001
4.247448e+002,5.544375e+001
4.252269e+002,5.547073e+001
4.257090e+002,5.549123e+001
4.261912e+002,5.548761e+001
4.266733e+002,5.545755e+001
4.271554e+002,5.541293e+001
4.276375e+002,5.537193e+001
4.281196e+002,5.534942e+001
4.286017e+002,5.535048e+001
4.290839e+002,5.536927e+001
4.295660e+002,5.539475e+001
4.300481e+002,5.542015e+001
4.305302e+002,5.545107e+001
4.310123e+002,5.550599e+001
4.314944e+002,5.560878e+001
4.319766e+002,5.577639e+001
4.324587e+002,5.600752e+001
4.329408e+002,5.627832e+001
4.334229e+002,5.654828e+001
4.339050e+002,5.677492e+001
4.343871e+002,5.693036e+001
4.348693e+002,5.701151e+001
4.353514e+002,5.704025e+001
4.358335e+002,5.705491e+001
4.363156e+002,5.709665e+001
4.367977e+002,5.719613e+001
4.372798e+002,5.736493e+001
4.377620e+002,5.759597e+001
4.382441e+002,5.787086e+001
4.387262e+002,5.816887e+001
4.392083e+002,5.847128e+001
4.396904e+002,5.876153e+001
4.401725e+002,5.902324e+001
4.406547e+002,5.924075e+001
4.411368e+002,5.940223e+001
4.416189e+002,5.950512e+001
4.421010e+002,5.955926e+001
4.425831e+002,5.958448e+001
4.430652e+002,5.960409e+001
4.435474e+002,5.963743e+001
4.440295e+002,5.969539e+001
4.445116e+002,5.978027e+001
4.449937e+002,5.988848e+001
4.454758e+002,6.001400e+001
4.459579e+002,6.014923e+001
4.464401e+002,6.028306e+001
4.469222e+002,6.039778e+001
4.474043e+002,6.046822e+001
4.478864e+002,6.046709e+001
4.483685e+002,6.037543e+001
4.488506e+002,6.019406e+001
4.493328e+002,5.994772e+001
4.498149e+002,5.967928e+001
4.502970e+002,5.943648e+001
4.507791e+002,5.925712e+001
4.512612e+002,5.915757e+001
4.517433e+002,5.912667e+001
4.522255e+002,5.912877e+001
4.527076e+002,5.911668e+001
4.531897e+002,5.905079e+001
4.536718e+002,5.891310e+001
4.541539e+002,5.870849e+001
4.546360e+002,5.845443e+001
4.551182e+002,5.816855e+001
4.556003e+002,5.786018e+001
4.560824e+002,5.752926e+001
4.565645e+002,5.717147e+001
4.570466e+002,5.678767e+001
4.575287e+002,5.639148e+001
4.580109e+002,5.600873e+001
4.584930e+002,5.566724e+001
4.589751e+002,5.538404e+001
4.594572e+002,5.515752e+001
4.599393e+002,5.496880e+001
4.604214e+002,5.478922e+001
4.609036e+002,5.459007e+001
4.613857e+002,5.435048e+001
4.618678e+002,5.406081e+001
4.623499e+002,5.372114e+001
4.628320e+002,5.333656e+001
4.633141e+002,5.291129e+001
4.637963e+002,5.244569e+001
4.642784e+002,5.193683e+001
4.647605e+002,5.138341e+001
4.652426e+002,5.079200e+001
4.657247e+002,5.018106e+001
4.662068e+002,4.958039e+001
4.666890e+002,4.902512e+001
4.671711e+002,4.854453e+001
4.676532e+002,4.815033e+001
4.681353e+002,4.782992e+001
4.686174e+002,4.755066e+001
4.690995e+002,4.727375e+001
4.695817e+002,4.697100e+001
4.700638e+002,4.663623e+001
4.705459e+002,4.628820e+001
4.710280e+002,4.596460e+001
4.715101e+002,4.570844e+001
4.719922e+002,4.555023e+001
4.724744e+002,4.549459e+001
4.729565e+002,4.552051e+001
4.734386e+002,4.559544e+001
4.739207e+002,4.569333e+001
4.744028e+002,4.580520e+001
4.748849e+002,4.593776e+001
4.753671e+002,4.610504e+001
4.758492e+002,4.631878e+001
4.763313e+002,4.658305e+001
4.768134e+002,4.689471e+001
4.772955e+002,4.724822e+001
4.777776e+002,4.764029e+001
4.782598e+002,4.807105e+001
4.787419e+002,4.854115e+001
4.792240e+002,4.904641e+001
4.797061e+002,4.957462e+001
4.801882e+002,5.010695e+001
4.806703e+002,5.062374e+001
4.811525e+002,5.111148e+001
4.816346e+002,5.156684e+001
4.821167e+002,5.199665e+001
4.825988e+002,5.241364e+001
4.830809e+002,5.283063e+001
4.835630e+002,5.325568e+001
4.840452e+002,5.369061e+001
4.845273e+002,5.413335e+001
4.850094e+002,5.458157e+001
4.854915e+002,5.503487e+001
4.859736e+002,5.549420e+001
4.864557e+002,5.595909e+001
4.869379e+002,5.642488e+001
4.874200e+002,5.688200e+001
4.879021e+002,5.731775e+001
4.883842e+002,5.771961e+001
4.888663e+002,5.807806e+001
4.893484e+002,5.838744e+001
4.898306e+002,5.864559e+001
4.903127e+002,5.885313e+001
4.907948e+002,5.901344e+001
4.912769e+002,5.913370e+001
4.917590e+002,5.922546e+001
4.922411e+002,5.930424e+001
4.927233e+002,5.938681e+001
4.932054e+002,5.948707e+001
4.936875e+002,5.961211e+001
4.941696e+002,5.975993e+001
4.946517e+002,5.992022e+001
4.951339e+002,6.007783e+001
4.956160e+002,6.021770e+001
4.960981e+002,6.032932e+001
4.965802e+002,6.040868e+001
4.970623e+002,6.045755e+001
4.975444e+002,6.048063e+001
4.980266e+002,6.048263e+001
4.985087e+002,6.046621e+001
4.989908e+002,6.043140e+001
4.994729e+002,6.037654e+001
4.999550e+002,6.029962e+001
5.004371e+002,6.019969e+001
5.009193e+002,6.007767e+001
5.014014e+002,5.993684e+001
5.018835e+002,5.978303e+001
5.023656e+002,5.962461e+001
5.028477e+002,5.947163e+001
5.033299e+002,5.933440e+001
5.038120e+002,5.922234e+001
5.042941e+002,5.914288e+001
5.047762e+002,5.910056e+001
5.052583e+002,5.909587e+001
5.057404e+002,5.912363e+001
5.062226e+002,5.917213e+001
5.067047e+002,5.922386e+001
5.071868e+002,5.925896e+001
5.076689e+002,5.925996e+001
5.081510e+002,5.921632e+001
5.086331e+002,5.912626e+001
5.091153e+002,5.899643e+001
5.095974e+002,5.883967e+001
5.100795e+002,5.867212e+001
5.105616e+002,5.851006e+001
5.110437e+002,5.836646e+001
5.115258e+002,5.824847e+001
5.120079e+002,5.815655e+001
5.124901e+002,5.808481e+001
5.129722e+002,5.802305e+001
5.134543e+002,5.795926e+001
5.139364e+002,5.788215e+001
5.144185e+002,5.778270e+001
5.149006e+002,5.765497e+001
5.153828e+002,5.749562e+001
5.158649e+002,5.730321e+001
5.163470e+002,5.707745e+001
5.168291e+002,5.681953e+001
5.173112e+002,5.653294e+001
5.177933e+002,5.622450e+001
5.182755e+002,5.590401e+001
5.187576e+002,5.558247e+001
5.192397e+002,5.526970e+001
5.197218e+002,5.497215e+001
5.202039e+002,5.469167e+001
5.206860e+002,5.442582e+001
5.211682e+002,5.416875e+001
5.216503e+002,5.391268e+001
5.221324e+002,5.364944e+001
5.226145e+002,5.337197e+001
5.230966e+002,5.307542e+001
5.235787e+002,5.275787e+001
5.240609e+002,5.242037e+001
5.245430e+002,5.206662e+001
5.250251e+002,5.170173e+001
5.255072e+002,5.133042e+001
5.259893e+002,5.095473e+001
5.264714e+002,5.057261e+001
5.269536e+002,5.017837e+001
5.274357e+002,4.976513e+001
5.279178e+002,4.932774e+001
5.283999e+002,4.886521e+001
5.288821e+002,4.838144e+001
5.293641e+002,4.788437e+001
5.298463e+002,4.738371e+001
5.303284e+002,4.688865e+001
5.308105e+002,4.640647e+001
5.312926e+002,4.594269e+001
5.317748e+002,4.550222e+001
5.322568e+002,4.509030e+001
5.327390e+002,4.471216e+001
5.332211e+002,4.437105e+001
5.337032e+002,4.406575e+001
5.341853e+002,4.378931e+001
5.346675e+002,4.353061e+001
5.351495e+002,4.327807e+001
5.356317e+002,4.302415e+001
5.361138e+002,4.276844e+001
5.365959e+002,4.251770e+001
5.370780e+002,4.228299e+001
5.375602e+002,4.207505e+001
5.380422e+002,4.190071e+001
5.385244e+002,4.176193e+001
5.390065e+002,4.165775e+001
5.394886e+002,4.158753e+001
5.399707e+002,4.155309e+001
5.404529e+002,4.155842e+001
5.409349e+002,4.160719e+001
5.414171e+002,4.169963e+001
5.418992e+002,4.183105e+001
5.423813e+002,4.199317e+001
5.428634e+002,4.217743e+001
5.433456e+002,4.237847e+001
5.438276e+002,4.259593e+001
5.443098e+002,4.283345e+001
5.447919e+002,4.309570e+001
5.452740e+002,4.338499e+001
5.457561e+002,4.369909e+001
5.462383e+002,4.403146e+001
5.467203e+002,4.437328e+001
5.472025e+002,4.471561e+001
5.476846e+002,4.505060e+001
5.481667e+002,4.537093e+001
5.486488e+002,4.566917e+001
5.491310e+002,4.593763e+001
5.496130e+002,4.616983e+001
5.500952e+002,4.636315e+001
5.505773e+002,4.652127e+001
5.510594e+002,4.665477e+001
5.515415e+002,4.677940e+001
5.520237e+002,4.691234e+001
5.525057e+002,4.706759e+001
5.529879e+002,4.725230e+001
5.534700e+002,4.746540e+001
5.539521e+002,4.769934e+001
5.544342e+002,4.794351e+001
5.549164e+002,4.818828e+001
5.553984e+002,4.842786e+001
5.558806e+002,4.866117e+001
5.563627e+002,4.889110e+001
5.568448e+002,4.912257e+001
5.573269e+002,4.936026e+001
5.578091e+002,4.960711e+001
5.582911e+002,4.986315e+001
5.587733e+002,5.012523e+001
5.592554e+002,5.038713e+001
5.597375e+002,5.064073e+001
5.602196e+002,5.087766e+001
5.607018e+002,5.109183e+001
5.611838e+002,5.128168e+001
5.616660e+002,5.145113e+001
5.621481e+002,5.160884e+001
5.626302e+002,5.176560e+001
5.631123e+002,5.193092e+001
5.635945e+002,5.211050e+001
5.640765e+002,5.230488e+001
5.645587e+002,5.251049e+001
5.650408e+002,5.272217e+001
5.655229e+002,5.293620e+001
5.660050e+002,5.315192e+001
5.664872e+002,5.337163e+001
5.669692e+002,5.359849e+001
5.674514e+002,5.383395e+001
5.679335e+002,5.407568e+001
5.684156e+002,5.431743e+001
5.688977e+002,5.455054e+001
5.693799e+002,5.476643e+001
5.698619e+002,5.495862e+001
5.703441e+002,5.512347e+001
5.708262e+002,5.525981e+001
5.713083e+002,5.536817e+001
5.717904e+002,5.545076e+001
