X,Y
-394.652,53.5591
-393.68,17.1922
-392.709,-8.31768
-391.737,2.42765
-390.766,24.6492
-389.794,50.6639
-388.823,97.1393
-387.851,175.167
-386.88,263.947
-385.908,303.906
-384.937,264.278
-383.965,185.735
-382.993,127.846
-382.022,116.937
-381.05,127.918
-380.079,117.251
-379.107,68.6261
-378.136,3.03205
-377.164,-12.0916
-376.193,65.7584
-375.221,178.364
-374.25,255.701
-373.278,287.438
-372.307,283.672
-371.335,278.927
-370.363,308.475
-369.392,336.663
-368.42,341.566
-367.449,373.132
-366.477,415.145
-365.506,393.658
-364.534,313.715
-363.563,240.807
-362.591,213.727
-361.62,207.088
-360.648,196.988
-359.676,208.199
-358.705,221.637
-357.733,206.593
-356.762,219.834
-355.79,274.558
-354.819,290.875
-353.847,256.423
-352.876,232.027
-351.904,251.426
-350.933,295.308
-349.961,321.669
-348.99,316.433
-348.018,280.25
-347.046,215.192
-346.075,144.366
-345.103,97.149
-344.132,79.1136
-343.16,68.3299
-342.189,74.0016
-341.217,127.245
-340.246,200.77
-339.274,253.27
-338.303,290.909
-337.331,319.437
-336.359,325.458
-335.388,311.857
-334.416,289.623
-333.445,277.88
-332.473,290.797
-331.502,296.839
-330.53,288.404
-329.559,298.194
-328.587,301.172
-327.616,260.665
-326.644,209.223
-325.673,182.033
-324.701,183.279
-323.729,220.799
-322.758,264.536
-321.786,286.026
-320.815,325.71
-319.843,370.032
-318.872,345.303
-317.9,250.095
-316.929,148.842
-315.957,109.784
-314.986,131.8
-314.014,158.612
-313.042,175.438
-312.071,181.929
-311.099,158.504
-310.128,107.953
-309.156,75.9538
-308.185,109.778
-307.213,175.23
-306.242,221.491
-305.27,276.262
-304.299,323.412
-303.327,272.468
-302.356,147.936
-301.384,94.5876
-300.412,156.717
-299.441,231.253
-298.469,236.502
-297.498,206.518
-296.526,225.621
-295.555,290.429
-294.583,322.852
-293.612,313.284
-292.64,286.532
-291.669,229.72
-290.697,171.011
-289.725,174.054
-288.754,218.755
-287.782,248.486
-286.811,273.012
-285.839,289.478
-284.868,262.222
-283.896,200.859
-282.925,152.16
-281.953,150.182
-280.982,180.97
-280.01,231.628
-279.039,303.579
-278.067,343.365
-277.095,314.877
-276.124,280.353
-275.152,279.582
-274.181,263.339
-273.209,217.086
-272.238,184.164
-271.266,181.124
-270.295,185.686
-269.323,161.606
-268.352,115.643
-267.38,103.512
-266.408,142.606
-265.437,173.461
-264.465,146.736
-263.494,106.51
-262.522,111.283
-261.551,159.118
-260.579,213.877
-259.608,232.635
-258.636,233.193
-257.665,279.204
-256.693,341.14
-255.722,337.453
-254.75,290.551
-253.778,283.567
-252.807,326.309
-251.835,337.256
-250.864,271.586
-249.892,189.013
-248.921,128.407
-247.949,78.1718
-246.978,42.9872
-246.006,43.5554
-245.035,90.0889
-244.063,138.13
-243.091,154.222
-242.12,167.055
-241.148,185.717
-240.177,184.986
-239.205,158.672
-238.234,151.944
-237.262,185.535
-236.291,193.552
-235.319,149.341
-234.348,119.562
-233.376,146.464
-232.405,205.307
-231.433,253.508
-230.461,263.016
-229.49,256.778
-228.518,260.53
-227.547,221.723
-226.575,141.342
-225.604,138.061
-224.632,234.097
-223.661,312.635
-222.689,311.069
-221.718,264.087
-220.746,219.499
-219.774,208.832
-218.803,233.797
-217.831,256.723
-216.86,244.45
-215.888,219.842
-214.917,227.585
-213.945,269.809
-212.974,313.862
-212.002,327.362
-211.031,314.201
-210.059,297.64
-209.088,274.987
-208.116,267.083
-207.144,297.51
-206.173,323.15
-205.201,322.594
-204.23,322.101
-203.258,321.064
-202.287,311.428
-201.315,281.738
-200.344,216.169
-199.372,158.445
-198.401,162.148
-197.429,204.496
-196.457,250.459
-195.486,272.774
-194.514,234.537
-193.543,176.206
-192.571,171.681
-191.6,217.052
-190.628,265.74
-189.657,285.227
-188.685,278.481
-187.714,258.479
-186.742,228.495
-185.771,187.76
-184.799,123.161
-183.827,54.8224
-182.856,31.8447
-181.884,59.1435
-180.913,82.774
-179.941,69.2541
-178.97,70.4099
-177.998,105.968
-177.027,113.742
-176.055,84.4203
-175.084,71.4041
-174.112,99.6274
-173.14,149.536
-172.169,174.531
-171.197,137.451
-170.226,86.9663
-169.254,98.3291
-168.283,137.582
-167.311,136.175
-166.34,105.017
-165.368,104.039
-164.397,163.607
-163.425,232.992
-162.454,247.431
-161.482,222.718
-160.51,198.171
-159.539,177.912
-158.567,186.576
-157.596,232.983
-156.624,264.402
-155.653,258.21
-154.681,245.665
-153.71,252.445
-152.738,264.413
-151.767,247.262
-150.795,206.636
-149.823,199.23
-148.852,254.33
-147.88,308.088
-146.909,310.73
-145.937,294.926
-144.966,271.11
-143.994,236.763
-143.023,231.933
-142.051,269.621
-141.08,300.66
-140.108,276.831
-139.137,212.165
-138.165,172.993
-137.193,195.185
-136.222,243.438
-135.25,268.189
-134.279,248.885
-133.307,218.324
-132.336,220.92
-131.364,232.969
-130.393,214.449
-129.421,162.853
-128.45,125.905
-127.478,163.255
-126.506,235.772
-125.535,259.007
-124.563,205.125
-123.592,118.392
-122.62,85.936
-121.649,102.181
-120.677,91.5994
-119.706,71.1611
-118.734,96.982
-117.763,159.456
-116.791,214.189
-115.82,234.52
-114.848,224.783
-113.876,197.615
-112.905,164.379
-111.933,144.037
-110.962,146.186
-109.99,156.786
-109.019,159.653
-108.047,162.633
-107.076,182.853
-106.104,222.243
-105.133,255.809
-104.161,237.057
-103.189,176.292
-102.218,149.564
-101.246,161.96
-100.275,148.902
-99.3033,115.013
-98.3318,116.001
-97.3602,155.683
-96.3887,194.92
-95.4172,210.779
-94.4456,227.151
-93.4741,269.953
-92.5025,291.697
-91.531,245.817
-90.5595,154.422
-89.5879,40.8191
-88.6164,-39.4953
-87.6448,-34.8893
-86.6733,-21.6138
-85.7017,-37.881
-84.7302,8.84118
-83.7587,118.416
-82.7871,191.861
-81.8156,204.833
-80.844,182.422
-79.8725,137.517
-78.901,100.235
-77.9294,103.874
-76.9579,142.937
-75.9863,194.278
-75.0148,250.677
-74.0433,294.979
-73.0717,302.693
-72.1002,290.916
-71.1286,271.202
-70.1571,214.973
-69.1855,132.413
-68.214,72.6365
-67.2425,57.5971
-66.2709,84.0758
-65.2994,126.637
-64.3278,135.634
-63.3563,118.774
-62.3848,144.522
-61.4132,199.416
-60.4417,217.571
-59.4701,205.208
-58.4986,198.631
-57.527,221.772
-56.5555,271.701
-55.584,296.751
-54.6124,265.922
-53.6409,202.83
-52.6693,125.31
-51.6978,56.8658
-50.7263,45.5614
-49.7547,81.0346
-48.7832,99.5793
-47.8116,84.6423
-46.8401,78.2332
-45.8685,118.145
-44.897,194.228
-43.9255,264.539
-42.9539,291.706
-41.9824,280.458
-41.0108,270.215
-40.0393,259.104
-39.0678,219.254
-38.0962,179.711
-37.1247,173.254
-36.1531,163.508
-35.1816,142.698
-34.21,141.765
-33.2385,115.405
-32.267,59.5437
-31.2954,76.2494
-30.3239,156.895
-29.3523,194.87
-28.3808,202.23
-27.4093,238.692
-26.4377,267.002
-25.4662,261.071
-24.4946,272.928
-23.5231,327.709
-22.5515,382.295
-21.58,401.131
-20.6085,404.706
-19.6369,402.808
-18.6654,374.816
-17.6938,324.506
-16.7223,257.161
-15.7508,180.441
-14.7792,136.147
-13.8077,138.969
-12.8361,153.976
-11.8646,178.292
-10.893,249.432
-9.9215,351.953
-8.94996,400.046
-7.97842,362.217
-7.00688,310.508
-6.03534,284.707
-5.0638,272.063
-4.09225,285.426
-3.12071,294.359
-2.14917,248.414
-1.17763,197.153
-0.206087,214.537
0.765454,296.575
1.737,393.31
2.70854,454.453
3.68008,477.727
4.65162,517.744
5.62316,623.051
6.5947,823.259
7.56625,1117.51
8.53779,1452.79
9.50933,1796.83
10.4809,2179.42
11.4524,2615.92
12.424,3033.91
13.3955,3356.04
14.367,3627.71
15.3386,3944.79
16.3101,4346.96
17.2817,4806.58
18.2532,5205.27
19.2247,5401.68
20.1963,5340.23
21.1678,5041.35
22.1394,4591.27
23.1109,4156.84
24.0825,3930.16
25.054,4012.64
26.0255,4315.01
26.9971,4636.24
27.9686,4865.12
28.9402,5021.26
29.9117,5140.08
30.8832,5214.88
31.8548,5250.69
32.8263,5280.42
33.7979,5281.73
34.7694,5194.53
35.741,5039.67
36.7125,4870.94
37.684,4673.88
38.6556,4442.87
39.6271,4211.16
40.5987,3982.27
41.5702,3754.32
42.5417,3533.79
43.5133,3344.23
44.4848,3229.81
45.4564,3146.06
46.4279,3006.02
47.3995,2834.08
48.371,2666.83
49.3425,2467.25
50.3141,2243.26
51.2856,2062.66
52.2572,1947.04
53.2287,1857.36
54.2002,1761.87
55.1718,1648.87
56.1433,1522.21
57.1149,1417.08
58.0864,1344.16
59.058,1291.97
60.0295,1277.58
61.001,1280.81
61.9726,1253.17
62.9441,1220.96
63.9157,1243.49
64.8872,1310.85
65.8587,1372.71
66.8303,1401.7
67.8018,1386.96
68.7734,1349.11
69.7449,1351.17
70.7165,1431.5
71.688,1538.03
72.6595,1589.27
73.6311,1600.16
74.6026,1645.81
75.5742,1719.56
76.5457,1723.21
77.5172,1601.78
78.4888,1400.11
79.4603,1173.92
80.4319,964.257
81.4034,804.492
82.375,698.812
83.3465,650.262
84.318,650.743
85.2896,666.462
86.2611,679.077
87.2327,675.805
88.2042,619.654
89.1757,503.277
90.1473,376.865
91.1188,290.123
92.0904,268.099
93.0619,285.159
94.0334,271.535
95.005,213.548
95.9765,162.544
96.9481,142.741
97.9196,139.119
98.8912,164.837
99.8627,262.172
