X,Y
234.99399,1.33E+07
234.98497,1.33E+07
234.97594,1.33E+07
234.96691,1.34E+07
234.95788,1.34E+07
234.94886,1.35E+07
234.93983,1.35E+07
234.9308,1.35E+07
234.92178,1.36E+07
234.91275,1.36E+07
234.90372,1.36E+07
234.89469,1.37E+07
234.88567,1.37E+07
234.87664,1.37E+07
234.86761,1.38E+07
234.85858,1.38E+07
234.84956,1.38E+07
234.84053,1.38E+07
234.8315,1.38E+07
234.82248,1.39E+07
234.81345,1.39E+07
234.80442,1.39E+07
234.79539,1.39E+07
234.78637,1.39E+07
234.77734,1.39E+07
234.76831,1.39E+07
234.75928,1.39E+07
234.75026,1.39E+07
234.74123,1.40E+07
234.7322,1.40E+07
234.72318,1.40E+07
234.71415,1.40E+07
234.70512,1.40E+07
234.69609,1.40E+07
234.68707,1.40E+07
234.67804,1.40E+07
234.66901,1.40E+07
234.65998,1.41E+07
234.65096,1.41E+07
234.64193,1.41E+07
234.6329,1.41E+07
234.62388,1.42E+07
234.61485,1.42E+07
234.60582,1.42E+07
234.59679,1.43E+07
234.58776,1.43E+07
234.57874,1.43E+07
234.56971,1.44E+07
234.56068,1.44E+07
234.55166,1.45E+07
234.54263,1.45E+07
234.5336,1.46E+07
234.52457,1.47E+07
234.51555,1.47E+07
234.50652,1.48E+07
234.49749,1.49E+07
234.48846,1.50E+07
234.47944,1.50E+07
234.47041,1.51E+07
234.46138,1.52E+07
234.45236,1.53E+07
234.44333,1.54E+07
234.4343,1.55E+07
234.42527,1.56E+07
234.41625,1.57E+07
234.40722,1.58E+07
234.39819,1.60E+07
234.38916,1.61E+07
234.38014,1.62E+07
234.37111,1.63E+07
234.36208,1.64E+07
234.35306,1.66E+07
234.34403,1.67E+07
234.335,1.68E+07
234.32597,1.70E+07
234.31695,1.71E+07
234.30792,1.72E+07
234.29889,1.74E+07
234.28986,1.75E+07
234.28084,1.76E+07
234.27181,1.78E+07
234.26278,1.79E+07
234.25376,1.80E+07
234.24473,1.82E+07
234.2357,1.83E+07
234.22667,1.84E+07
234.21765,1.86E+07
234.20862,1.87E+07
234.19959,1.88E+07
234.19056,1.90E+07
234.18154,1.91E+07
234.17251,1.92E+07
234.16348,1.94E+07
234.15446,1.95E+07
234.14543,1.96E+07
234.1364,1.97E+07
234.12737,1.98E+07
234.11835,2.00E+07
234.10932,2.01E+07
234.10029,2.02E+07
234.09126,2.03E+07
234.08224,2.04E+07
234.07321,2.05E+07
234.06418,2.06E+07
234.05516,2.08E+07
234.04613,2.09E+07
234.0371,2.10E+07
234.02807,2.11E+07
234.01905,2.12E+07
234.01002,2.13E+07
234.00099,2.14E+07
233.99196,2.15E+07
233.98294,2.15E+07
233.97391,2.16E+07
233.96488,2.17E+07
233.95586,2.18E+07
233.94683,2.19E+07
233.9378,2.20E+07
233.92877,2.21E+07
233.91975,2.21E+07
233.91072,2.22E+07
233.90169,2.23E+07
233.89266,2.24E+07
233.88364,2.24E+07
233.87461,2.25E+07
233.86558,2.26E+07
233.85655,2.26E+07
233.84753,2.27E+07
233.8385,2.28E+07
233.82947,2.28E+07
233.82045,2.29E+07
233.81142,2.29E+07
233.80239,2.30E+07
233.79336,2.30E+07
233.78434,2.31E+07
233.77531,2.31E+07
233.76628,2.32E+07
233.75725,2.32E+07
233.74823,2.33E+07
233.7392,2.33E+07
233.73017,2.34E+07
233.72115,2.34E+07
233.71212,2.35E+07
233.70309,2.35E+07
233.69406,2.35E+07
233.68504,2.36E+07
233.67601,2.36E+07
233.66698,2.36E+07
233.65795,2.37E+07
233.64893,2.37E+07
233.6399,2.38E+07
233.63087,2.38E+07
233.62185,2.38E+07
233.61282,2.39E+07
233.60379,2.39E+07
233.59476,2.39E+07
233.58574,2.40E+07
233.57671,2.40E+07
233.56768,2.40E+07
233.55865,2.40E+07
233.54963,2.41E+07
233.5406,2.41E+07
233.53157,2.41E+07
233.52255,2.42E+07
233.51352,2.42E+07
233.50449,2.42E+07
233.49546,2.43E+07
233.48644,2.43E+07
233.47741,2.43E+07
233.46838,2.44E+07
233.45935,2.44E+07
233.45033,2.44E+07
233.4413,2.45E+07
233.43227,2.45E+07
233.42325,2.45E+07
233.41422,2.46E+07
233.40519,2.46E+07
233.39616,2.47E+07
233.38714,2.47E+07
233.37811,2.47E+07
233.36908,2.48E+07
233.36005,2.48E+07
233.35103,2.48E+07
233.342,2.49E+07
233.33297,2.49E+07
233.32394,2.50E+07
233.31492,2.50E+07
233.30589,2.51E+07
233.29686,2.51E+07
233.28784,2.52E+07
233.27881,2.52E+07
233.26978,2.52E+07
233.26075,2.53E+07
233.25173,2.53E+07
233.2427,2.54E+07
233.23367,2.54E+07
233.22464,2.55E+07
233.21562,2.55E+07
233.20659,2.56E+07
233.19756,2.56E+07
233.18854,2.57E+07
233.17951,2.57E+07
233.17048,2.58E+07
233.16145,2.58E+07
233.15243,2.59E+07
233.1434,2.59E+07
233.13437,2.60E+07
233.12534,2.60E+07
233.11632,2.60E+07
233.10729,2.61E+07
233.09826,2.61E+07
233.08924,2.62E+07
233.08021,2.62E+07
233.07118,2.62E+07
233.06215,2.63E+07
233.05313,2.63E+07
233.0441,2.63E+07
233.03507,2.63E+07
233.02604,2.64E+07
233.01702,2.64E+07
233.00799,2.64E+07
232.99896,2.64E+07
232.98994,2.64E+07
232.98091,2.64E+07
232.97188,2.65E+07
232.96285,2.65E+07
232.95382,2.65E+07
232.9448,2.65E+07
232.93577,2.65E+07
232.92674,2.65E+07
232.91772,2.65E+07
232.90869,2.65E+07
232.89966,2.65E+07
232.89063,2.64E+07
232.88161,2.64E+07
232.87258,2.64E+07
232.86355,2.64E+07
232.85453,2.64E+07
232.8455,2.64E+07
232.83647,2.63E+07
232.82744,2.63E+07
232.81842,2.63E+07
232.80939,2.63E+07
232.80036,2.62E+07
232.79133,2.62E+07
232.78231,2.62E+07
232.77328,2.61E+07
232.76425,2.61E+07
232.75523,2.61E+07
232.7462,2.60E+07
232.73717,2.60E+07
232.72814,2.59E+07
232.71912,2.59E+07
232.71009,2.58E+07
232.70106,2.58E+07
232.69203,2.57E+07
232.68301,2.57E+07
232.67398,2.56E+07
232.66495,2.56E+07
232.65593,2.55E+07
232.6469,2.55E+07
232.63787,2.54E+07
232.62884,2.53E+07
232.61982,2.53E+07
232.61079,2.52E+07
232.60176,2.52E+07
232.59273,2.51E+07
232.58371,2.50E+07
232.57468,2.50E+07
232.56565,2.49E+07
232.55663,2.49E+07
232.5476,2.48E+07
232.53857,2.47E+07
232.52954,2.47E+07
232.52051,2.46E+07
232.51149,2.46E+07
232.50246,2.45E+07
232.49343,2.44E+07
232.48441,2.44E+07
232.47538,2.43E+07
232.46635,2.43E+07
232.45732,2.42E+07
232.4483,2.42E+07
232.43927,2.42E+07
232.43024,2.41E+07
232.42121,2.41E+07
232.41219,2.41E+07
232.40316,2.40E+07
232.39413,2.40E+07
232.38511,2.40E+07
232.37608,2.40E+07
232.36705,2.39E+07
232.35802,2.39E+07
232.349,2.39E+07
232.33997,2.39E+07
232.33094,2.39E+07
232.32191,2.39E+07
232.31289,2.39E+07
232.30386,2.40E+07
232.29483,2.40E+07
232.28581,2.40E+07
232.27678,2.40E+07
232.26775,2.41E+07
232.25872,2.41E+07
232.2497,2.41E+07
232.24067,2.42E+07
232.23164,2.42E+07
232.22261,2.43E+07
232.21359,2.44E+07
232.20456,2.44E+07
232.19553,2.45E+07
232.18651,2.46E+07
232.17748,2.47E+07
232.16845,2.47E+07
232.15942,2.48E+07
232.1504,2.49E+07
232.14137,2.50E+07
232.13234,2.51E+07
232.12331,2.52E+07
232.11429,2.54E+07
232.10526,2.55E+07
232.09623,2.56E+07
232.08721,2.57E+07
232.07818,2.58E+07
232.06915,2.60E+07
232.06012,2.61E+07
232.0511,2.62E+07
232.04207,2.64E+07
232.03304,2.65E+07
232.02401,2.66E+07
232.01499,2.68E+07
232.00596,2.69E+07
231.99693,2.71E+07
231.98791,2.72E+07
231.97888,2.73E+07
231.96985,2.75E+07
231.96082,2.76E+07
231.9518,2.78E+07
231.94277,2.79E+07
231.93374,2.81E+07
231.92471,2.82E+07
231.91569,2.83E+07
231.90666,2.85E+07
231.89763,2.86E+07
231.88861,2.87E+07
231.87958,2.89E+07
231.87055,2.90E+07
231.86152,2.91E+07
231.8525,2.92E+07
231.84347,2.94E+07
231.83444,2.95E+07
231.82541,2.96E+07
231.81639,2.97E+07
231.80736,2.98E+07
231.79833,2.99E+07
231.78931,3.00E+07
231.78028,3.01E+07
231.77125,3.02E+07
231.76222,3.03E+07
231.7532,3.03E+07
231.74417,3.04E+07
231.73514,3.05E+07
231.72611,3.06E+07
231.71709,3.06E+07
231.70806,3.07E+07
231.69903,3.08E+07
231.69,3.08E+07
231.68098,3.09E+07
231.67195,3.09E+07
231.66292,3.10E+07
231.6539,3.10E+07
231.64487,3.11E+07
231.63584,3.11E+07
231.62681,3.11E+07
231.61779,3.12E+07
231.60876,3.12E+07
231.59973,3.12E+07
231.5907,3.12E+07
231.58168,3.13E+07
231.57265,3.13E+07
231.56362,3.13E+07
231.5546,3.13E+07
231.54557,3.13E+07
231.53654,3.13E+07
231.52751,3.13E+07
231.51849,3.13E+07
231.50946,3.13E+07
231.50043,3.13E+07
231.4914,3.13E+07
231.48238,3.13E+07
231.47335,3.12E+07
231.46432,3.12E+07
231.4553,3.12E+07
231.44627,3.12E+07
231.43724,3.11E+07
231.42821,3.11E+07
231.41919,3.11E+07
231.41016,3.10E+07
231.40113,3.10E+07
231.3921,3.09E+07
231.38308,3.09E+07
231.37405,3.09E+07
231.36502,3.08E+07
231.356,3.08E+07
231.34697,3.07E+07
231.33794,3.07E+07
231.32891,3.06E+07
231.31989,3.05E+07
231.31086,3.05E+07
231.30183,3.04E+07
231.2928,3.04E+07
231.28378,3.03E+07
231.27475,3.02E+07
231.26572,3.02E+07
231.25669,3.01E+07
231.24767,3.00E+07
231.23864,3.00E+07
231.22961,2.99E+07
231.22059,2.98E+07
231.21156,2.97E+07
231.20253,2.97E+07
231.1935,2.96E+07
231.18448,2.95E+07
231.17545,2.94E+07
231.16642,2.94E+07
231.15739,2.93E+07
231.14837,2.92E+07
231.13934,2.91E+07
231.13031,2.90E+07
231.12129,2.89E+07
231.11226,2.89E+07
231.10323,2.88E+07
231.0942,2.87E+07
231.08518,2.86E+07
231.07615,2.85E+07
231.06712,2.84E+07
231.05809,2.83E+07
231.04907,2.82E+07
231.04004,2.81E+07
231.03101,2.80E+07
231.02199,2.79E+07
231.01296,2.78E+07
231.00393,2.77E+07
230.9949,2.76E+07
230.98588,2.75E+07
230.97685,2.74E+07
230.96782,2.73E+07
230.95879,2.72E+07
230.94977,2.70E+07
230.94074,2.69E+07
230.93171,2.68E+07
230.92268,2.67E+07
230.91366,2.66E+07
230.90463,2.65E+07
230.8956,2.64E+07
230.88657,2.63E+07
230.87755,2.61E+07
230.86852,2.60E+07
230.85949,2.59E+07
230.85047,2.58E+07
230.84144,2.57E+07
230.83241,2.56E+07
230.82338,2.54E+07
230.81436,2.53E+07
230.80533,2.52E+07
230.7963,2.51E+07
230.78727,2.50E+07
230.77825,2.49E+07
230.76922,2.48E+07
230.76019,2.47E+07
230.75117,2.46E+07
230.74214,2.44E+07
230.73311,2.43E+07
230.72408,2.42E+07
230.71506,2.41E+07
230.70603,2.40E+07
230.697,2.39E+07
230.68797,2.38E+07
230.67895,2.37E+07
230.66992,2.37E+07
230.66089,2.36E+07
230.65187,2.35E+07
230.64284,2.34E+07
230.63381,2.33E+07
230.62478,2.32E+07
230.61576,2.31E+07
230.60673,2.31E+07
230.5977,2.30E+07
230.58867,2.29E+07
230.57965,2.28E+07
230.57062,2.28E+07
230.56159,2.27E+07
230.55256,2.26E+07
230.54354,2.26E+07
230.53451,2.25E+07
230.52548,2.25E+07
230.51646,2.24E+07
230.50743,2.24E+07
230.4984,2.23E+07
230.48937,2.22E+07
230.48035,2.22E+07
230.47132,2.21E+07
230.46229,2.21E+07
230.45326,2.21E+07
230.44424,2.20E+07
230.43521,2.20E+07
230.42618,2.19E+07
230.41716,2.19E+07
230.40813,2.18E+07
230.3991,2.18E+07
230.39007,2.17E+07
230.38105,2.17E+07
230.37202,2.17E+07
230.36299,2.16E+07
230.35396,2.16E+07
230.34494,2.15E+07
230.33591,2.15E+07
230.32688,2.14E+07
230.31786,2.14E+07
230.30883,2.13E+07
230.2998,2.13E+07
230.29077,2.12E+07
230.28175,2.12E+07
230.27272,2.11E+07
230.26369,2.11E+07
230.25466,2.10E+07
230.24564,2.10E+07
230.23661,2.09E+07
230.22758,2.08E+07
230.21856,2.08E+07
230.20953,2.07E+07
230.2005,2.07E+07
230.19147,2.06E+07
230.18245,2.05E+07
230.17342,2.05E+07
230.16439,2.04E+07
230.15536,2.04E+07
230.14634,2.03E+07
230.13731,2.03E+07
230.12828,2.02E+07
230.11926,2.01E+07
230.11023,2.01E+07
230.1012,2.00E+07
230.09217,2.00E+07
230.08315,1.99E+07
230.07412,1.99E+07
230.06509,1.98E+07
230.05606,1.98E+07
230.04704,1.98E+07
230.03801,1.97E+07
230.02898,1.97E+07
230.01996,1.97E+07
230.01093,1.96E+07
230.0019,1.96E+07
229.99287,1.96E+07
229.98385,1.96E+07
229.97482,1.96E+07
229.96579,1.96E+07
229.95676,1.95E+07
229.94774,1.95E+07
229.93871,1.95E+07
229.92968,1.96E+07
229.92066,1.96E+07
229.91163,1.96E+07
229.9026,1.96E+07
229.89357,1.96E+07
229.88455,1.96E+07
229.87552,1.97E+07
229.86649,1.97E+07
229.85746,1.97E+07
229.84844,1.97E+07
229.83941,1.98E+07
229.83038,1.98E+07
229.82136,1.99E+07
229.81233,1.99E+07
229.8033,2.00E+07
229.79427,2.00E+07
229.78525,2.00E+07
229.77622,2.01E+07
229.76719,2.01E+07
229.75816,2.02E+07
229.74914,2.02E+07
229.74011,2.03E+07
229.73108,2.03E+07
229.72206,2.04E+07
229.71303,2.04E+07
229.704,2.05E+07
229.69497,2.05E+07
229.68595,2.06E+07
229.67692,2.06E+07
229.66789,2.07E+07
229.65886,2.07E+07
229.64984,2.08E+07
229.64081,2.08E+07
229.63178,2.09E+07
229.62275,2.09E+07
229.61373,2.10E+07
229.6047,2.10E+07
229.59567,2.10E+07
229.58665,2.11E+07
229.57762,2.11E+07
229.56859,2.12E+07
229.55956,2.12E+07
229.55054,2.12E+07
229.54151,2.13E+07
229.53248,2.13E+07
229.52345,2.13E+07
229.51443,2.14E+07
229.5054,2.14E+07
229.49637,2.14E+07
229.48735,2.15E+07
229.47832,2.15E+07
229.46929,2.15E+07
229.46026,2.16E+07
229.45124,2.16E+07
229.44221,2.16E+07
229.43318,2.16E+07
229.42415,2.17E+07
229.41513,2.17E+07
229.4061,2.17E+07
229.39707,2.18E+07
229.38805,2.18E+07
229.37902,2.18E+07
229.36999,2.19E+07
229.36096,2.19E+07
229.35194,2.19E+07
229.34291,2.20E+07
229.33388,2.20E+07
229.32485,2.20E+07
229.31583,2.21E+07
229.3068,2.21E+07
229.29777,2.21E+07
229.28874,2.21E+07
229.27972,2.22E+07
229.27069,2.22E+07
229.26166,2.22E+07
229.25264,2.23E+07
229.24361,2.23E+07
229.23458,2.23E+07
229.22555,2.24E+07
229.21653,2.24E+07
229.2075,2.24E+07
229.19847,2.24E+07
229.18944,2.25E+07
229.18042,2.25E+07
229.17139,2.25E+07
229.16236,2.25E+07
229.15334,2.26E+07
229.14431,2.26E+07
229.13528,2.26E+07
229.12625,2.26E+07
229.11723,2.26E+07
229.1082,2.27E+07
229.09917,2.27E+07
229.09014,2.27E+07
229.08112,2.27E+07
229.07209,2.27E+07
229.06306,2.27E+07
229.05404,2.27E+07
229.04501,2.27E+07
229.03598,2.27E+07
229.02695,2.27E+07
229.01793,2.27E+07
229.0089,2.27E+07
228.99987,2.27E+07
228.99084,2.27E+07
228.98182,2.27E+07
228.97279,2.27E+07
228.96376,2.27E+07
228.95474,2.27E+07
228.94571,2.26E+07
228.93668,2.26E+07
228.92765,2.26E+07
228.91862,2.26E+07
228.9096,2.26E+07
228.90057,2.25E+07
228.89154,2.25E+07
228.88252,2.25E+07
228.87349,2.24E+07
228.86446,2.24E+07
228.85543,2.24E+07
228.84641,2.23E+07
228.83738,2.23E+07
228.82835,2.23E+07
228.81932,2.22E+07
228.8103,2.22E+07
228.80127,2.21E+07
228.79224,2.21E+07
228.78322,2.20E+07
228.77419,2.20E+07
228.76516,2.19E+07
228.75613,2.19E+07
228.74711,2.18E+07
228.73808,2.18E+07
228.72905,2.17E+07
228.72002,2.17E+07
228.711,2.16E+07
228.70197,2.16E+07
228.69294,2.15E+07
228.68392,2.14E+07
228.67489,2.14E+07
228.66586,2.13E+07
228.65683,2.12E+07
228.64781,2.12E+07
228.63878,2.11E+07
228.62975,2.10E+07
228.62072,2.10E+07
228.6117,2.09E+07
228.60267,2.08E+07
228.59364,2.08E+07
228.58462,2.07E+07
228.57559,2.06E+07
228.56656,2.06E+07
228.55753,2.05E+07
228.54851,2.04E+07
228.53948,2.04E+07
228.53045,2.03E+07
228.52142,2.02E+07
228.5124,2.02E+07
228.50337,2.01E+07
228.49434,2.00E+07
228.48532,2.00E+07
228.47629,1.99E+07
228.46726,1.99E+07
228.45823,1.98E+07
228.44921,1.97E+07
228.44018,1.97E+07
228.43115,1.96E+07
228.42212,1.96E+07
228.4131,1.95E+07
228.40407,1.95E+07
228.39504,1.94E+07
228.38601,1.94E+07
228.37699,1.94E+07
228.36796,1.93E+07
228.35893,1.93E+07
228.34991,1.93E+07
228.34088,1.93E+07
228.33185,1.92E+07
228.32282,1.92E+07
228.3138,1.92E+07
228.30477,1.92E+07
228.29574,1.92E+07
228.28671,1.92E+07
228.27769,1.92E+07
228.26866,1.92E+07
228.25963,1.92E+07
228.25061,1.92E+07
228.24158,1.93E+07
228.23255,1.93E+07
228.22352,1.93E+07
228.2145,1.94E+07
228.20547,1.94E+07
228.19644,1.94E+07
228.18741,1.95E+07
228.17839,1.96E+07
228.16936,1.96E+07
228.16033,1.97E+07
228.15131,1.98E+07
228.14228,1.98E+07
228.13325,1.99E+07
228.12422,2.00E+07
228.1152,2.01E+07
228.10617,2.02E+07
228.09714,2.03E+07
228.08811,2.04E+07
228.07909,2.05E+07
228.07006,2.06E+07
228.06103,2.07E+07
228.05201,2.08E+07
228.04298,2.09E+07
228.03395,2.11E+07
228.02492,2.12E+07
228.0159,2.13E+07
228.00687,2.14E+07
227.99784,2.16E+07
227.98881,2.17E+07
227.97979,2.18E+07
227.97076,2.20E+07
227.96173,2.21E+07
227.95271,2.23E+07
227.94368,2.24E+07
227.93465,2.26E+07
227.92562,2.27E+07
227.9166,2.28E+07
227.90757,2.30E+07
227.89854,2.31E+07
227.88951,2.33E+07
227.88049,2.34E+07
227.87146,2.36E+07
227.86243,2.37E+07
227.85341,2.38E+07
227.84438,2.40E+07
227.83535,2.41E+07
227.82632,2.43E+07
227.8173,2.44E+07
227.80827,2.45E+07
227.79924,2.47E+07
227.79021,2.48E+07
227.78119,2.49E+07
227.77216,2.50E+07
227.76313,2.52E+07
227.75411,2.53E+07
227.74508,2.54E+07
227.73605,2.55E+07
227.72702,2.56E+07
227.718,2.57E+07
227.70897,2.58E+07
227.69994,2.59E+07
227.69091,2.60E+07
227.68189,2.61E+07
227.67286,2.62E+07
227.66383,2.63E+07
227.6548,2.64E+07
227.64578,2.65E+07
227.63675,2.66E+07
227.62772,2.67E+07
227.6187,2.68E+07
227.60967,2.68E+07
227.60064,2.69E+07
227.59161,2.70E+07
227.58259,2.71E+07
227.57356,2.71E+07
227.56453,2.72E+07
227.5555,2.73E+07
227.54648,2.73E+07
227.53745,2.74E+07
227.52842,2.74E+07
227.5194,2.75E+07
227.51037,2.75E+07
227.50134,2.76E+07
227.49231,2.76E+07
227.48329,2.76E+07
